Title;Authors;DOI;DOI link;Venue;Citation count;Year;Centrality of the Interoperability Problem;"Reasoning for ""Centrality of the Interoperability Problem""";Full-Text Accessibility;"Reasoning for ""Full-Text Accessibility""";Interlanguage collaboration;"Reasoning for ""Interlanguage collaboration""";Proof of Multilingual Systems;"Reasoning for ""Proof of Multilingual Systems""";Publication Language;"Reasoning for ""Publication Language""";Scientific field;"Reasoning for ""Scientific field""";Assessment Methods;"Reasoning for ""Assessment Methods""";Empirical Evidence;"Reasoning for ""Empirical Evidence""";Integration Scope;"Reasoning for ""Integration Scope""";Integration/Interoperability;"Reasoning for ""Integration/Interoperability""";Language Support;"Reasoning for ""Language Support""";Multilingual System Focus;"Reasoning for ""Multilingual System Focus""";Research Type;"Reasoning for ""Research Type""";Technical Solution;"Reasoning for ""Technical Solution""";Screening judgement;"Reasoning for ""Screening judgement""";Screening score;Reason code;Reason note
A Survey of Recent Trends in Testing Concurrent Software Systems;F. A. Bianchi, Alessandro Margara, M. Pezzè;10.1109/TSE.2017.2707089;https://doi.org/10.1109/TSE.2017.2707089;IEEE Transactions on Software Engineering;48;2018;no;The paper focuses on testing challenges in concurrent systems, not language interoperability issues.;maybe;Cannot be determined from the abstract alone.;no;The abstract does not discuss interaction between components written in different programming languages. It focuses on concurrent execution flows.;no;No mention of software systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a software engineering field, focusing on testing concurrent systems, meeting this criterion.;no;While the paper discusses testing techniques, these are not related to multilingual software interoperability.;no;The paper appears to be a survey paper reviewing testing techniques, but not specifically focused on empirical evaluation of multilingual systems.;no;The paper addresses software integration, but not in the context of multiple programming languages.;no;The paper discusses integration of concurrent components, but not in the context of different programming languages.;no;The abstract does not mention anything about multiple programming languages or language support. It focuses on concurrent systems and testing techniques.;no;No focus on multilingual systems or language handling.;yes;The paper presents a technical survey and analysis, meeting this criterion.;no;While the paper discusses testing techniques, these are not solutions for multilingual software integration.;Exclude;The abstract describes a survey of testing techniques for concurrent software systems, focusing on technical challenges in multi-core and distributed architectures. Despite being a technical software engineering paper, it does not address multilingual software systems, language interoperability, or integration challenges across programming languages. Consequently, the paper fails to meet most of the specified screening criteria related to multilingual software systems.;1.4;EC1;The abstract describes a survey of testing techniques for concurrent software systems, focusing on technical challenges in multi-core and distributed architectures. Despite being a technical software engineering paper, it does not address multilingual software…
IATE 2;Paula Zorrilla-Agut, T. Fontenelle;10.1075/term.00034.zor;https://doi.org/10.1075/term.00034.zor;-;5;2019;maybe;While interoperability is mentioned, it is about data exchange between systems rather than programming language interoperability.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;no;The abstract does not discuss the interaction between different programming languages. Instead, it focuses on terminology database integration.;no;The abstract does not explicitly discuss multiple programming languages being used in the system.;yes;The abstract is written in English, meeting the publication language criterion.;maybe;While the paper discusses software engineering aspects, it is not clear if it is published in a recognized software engineering venue.;maybe;The abstract does not mention any specific assessment methods or metrics.;maybe;The abstract does not indicate whether empirical evaluation is included.;yes;The integration aspects discussed in the paper go beyond natural language processing, covering system architecture and data management.;yes;The paper explicitly focuses on interoperability and data exchange challenges.;yes;"The abstract explicitly mentions that the study addresses a ""multilingual terminology database"" and discusses data exchange across different language contexts, indicating that the study supports multiple languages.";yes;The system is explicitly described as a multilingual terminology database.;yes;The paper appears to present technical solutions and architectural changes.;yes;The paper describes technical strategies for data consumption and system modernization.;Exclude;The abstract describes a multilingual terminology database system focused on data exchange and integration, but lacks specific evidence of programming language interoperability. While the paper addresses system modernization and technical strategies, it does not meet the core screening criteria related to multilingual programming language interactions. The study's primary focus on terminology database integration rather than programming language collaboration suggests limited alignment with the systematic review's requirements.;2.7;EC1;The abstract describes a multilingual terminology database system focused on data exchange and integration, but lacks specific evidence of programming language interoperability. While the paper addresses system modernization and technical strategies, it does n…
Global Interoperability for Language Resources: Introduction to the Special Section;Nancy Ide, A. Fang, J. Webster;10.1007/s10579-012-9184-1;https://doi.org/10.1007/s10579-012-9184-1;Language Resources and Evaluation;0;2012;no;The paper does focus on interoperability challenges, but specifically for lexical and semantic databases, not programming languages.;no;Cannot be determined from the abstract alone.;no;The abstract focuses on interoperability between lexical databases, not programming languages.;no;While it discusses multilingual resources, it doesn't mention specific programming languages or software systems.;yes;The abstract is in English.;no;"The paper appears in ""Language Resources and Evaluation"" and discusses ICGL (presumably a conference), but it's not clearly focused on software engineering or programming languages.";no;The abstract doesn't mention specific assessment methods or metrics.;no;The abstract doesn't indicate whether empirical evaluation is included.;no;The paper appears to focus specifically on natural language processing and lexical resources, rather than broader software integration.;maybe;The paper does examine interoperability, but in the context of lexical databases rather than programming languages.;maybe;The abstract discusses lexical and semantic databases that handle multiple languages, suggesting support for multiple languages.;maybe;The paper does focus on multilingual resources, but in the context of lexical databases rather than software systems.;maybe;The abstract suggests this is a technical paper, but the specific type of evidence isn't clear.;maybe;The abstract suggests the paper discusses technical solutions for interoperability, but specifically for lexical databases.;Exclude;The abstract focuses on lexical and semantic database interoperability in linguistics, which fundamentally differs from software engineering and programming language integration. Despite discussing multilingual resources, the paper fails to meet critical screening criteria related to programming language collaboration, software system implementation, and technical interoperability challenges. Consequently, the research does not align with the specified screening requirements for multilingual software systems.;2.5;EC4;Cannot be determined from the abstract alone.
Global Interoperability for Language Resources: Introduction to the Special Section;Nancy Ide, A. Fang, Jonathan Webster;10.1007/s10579-012-9184-1;https://doi.org/10.1007/s10579-012-9184-1;Language Resources and Evaluation;0;2012;no;The paper does focus on interoperability challenges, but specifically for lexical and semantic databases, not programming languages.;no;Cannot be determined from the abstract alone.;no;The abstract focuses on interoperability between lexical databases, not programming languages.;no;While it discusses multilingual resources, it doesn't mention specific programming languages or software systems.;yes;The abstract is in English.;no;"The paper appears in ""Language Resources and Evaluation"" and discusses ICGL (presumably a conference), but it's not clearly focused on software engineering or programming languages.";no;The abstract doesn't mention specific assessment methods or metrics.;no;The abstract doesn't indicate whether empirical evaluation is included.;no;The paper appears to focus specifically on natural language processing and lexical resources, rather than broader software integration.;maybe;The paper does examine interoperability, but in the context of lexical databases rather than programming languages.;maybe;The abstract discusses lexical and semantic databases that handle multiple languages, suggesting support for multiple languages.;maybe;The paper does focus on multilingual resources, but in the context of lexical databases rather than software systems.;maybe;The abstract suggests this is a technical paper, but the specific type of evidence isn't clear.;maybe;The abstract suggests the paper discusses technical solutions for interoperability, but specifically for lexical databases.;Exclude;The abstract focuses on lexical and semantic database interoperability in linguistics, which fundamentally differs from software engineering and programming language integration. Despite discussing multilingual resources, the paper fails to meet critical screening criteria related to programming language collaboration, software system implementation, and technical interoperability challenges. Consequently, the research does not align with the specified screening requirements for multilingual software systems.;2.5;EC4;Cannot be determined from the abstract alone.
The Current State of Component Content Management: An Integrative Literature Review;R. Andersen, T. Batova;10.1109/TPC.2016.2516619;https://doi.org/10.1109/TPC.2016.2516619;IEEE Transactions on Professional Communication;34;2015;no;The paper focuses on content management interoperability, not programming language interoperability.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;no;The paper does not focus on programming language interactions. It discusses content management components, not software components.;no;There is no evidence of the paper analyzing specific software systems built with multiple programming languages.;yes;The paper is written in English, meeting this criterion.;no;The paper appears to be a literature review in content management, not specifically software engineering or programming languages.;no;The paper discusses methodologies, but they are for content management, not software interoperability.;no;The paper is a literature review and does not present new empirical evaluation of software systems.;no;The paper focuses specifically on content management integration, not broader software integration.;maybe;The paper addresses integration challenges, but in the context of content management, not multilingual software systems.;maybe;"The abstract mentions ""multilingual communication"" only briefly as an area needing more research, but the paper does not focus on systems supporting multiple languages.";maybe;"While ""multilingual communication"" is mentioned, it is not the focus of the study.";yes;The paper presents a systematic literature review, which is a valid research type.;no;The paper discusses content management solutions but not technical solutions for multilingual software integration.;Exclude;The literature review focuses on content management rather than software engineering, failing to meet most screening criteria related to multilingual software systems and programming language interoperability. While written in English and presenting a systematic research approach, the paper does not address technical challenges of software integration across programming languages. The study's primary focus on content management documentation renders it incompatible with the specified screening requirements.;1.4;EC1;The literature review focuses on content management rather than software engineering, failing to meet most screening criteria related to multilingual software systems and programming language interoperability. While written in English and presenting a systemat…
Holistic Human-Serving Digitization of Health Care Needs Integrated Automated System-Level Assessment Tools;Cindy Welzel, Fabienne Cotte, M. Wekenborg, B. Vasey, P. McCulloch, S. Gilbert;10.2196/50158;https://doi.org/10.2196/50158;Journal of Medical Internet Research;13;2023;no;While interoperability is discussed, it's about system-level integration rather than programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The abstract does not discuss interaction between different programming languages. It focuses on system integration at a higher level.;no;No mention of specific programming languages or multilingual systems.;yes;The abstract is in English, meeting this criterion.;no;While the paper appears to be from a healthcare/medical informatics field, it's not clearly from a software engineering or programming languages journal.;maybe;The paper does discuss evaluation frameworks and assessment methods, but not specifically for programming language interoperability.;no;The paper appears to be proposing a framework rather than presenting empirical evaluation.;no;The integration discussed is about clinical systems and workflows, not programming languages.;no;The paper focuses heavily on integration and interoperability, but at a system level rather than programming language level.;no;The abstract does not mention anything about multiple programming languages or language support. It focuses on digital health tools and clinical systems integration.;no;No evidence of focus on multilingual systems in terms of programming languages.;yes;The paper appears to be presenting a technical proposal rather than just opinions.;no;While technical solutions are proposed, they're not related to programming language integration.;Exclude;The abstract focuses on digital health system integration and interoperability, but does not address programming language interactions or multilingual software systems. Despite discussing technical integration challenges, the paper fails to meet the specific screening criteria related to programming language collaboration and multilingual system development. Consequently, the abstract does not align with the required research focus on interlanguage software integration.;1.4;EC1;The abstract focuses on digital health system integration and interoperability, but does not address programming language interactions or multilingual software systems. Despite discussing technical integration challenges, the paper fails to meet the specific s…
Designing Dynamic and Collaborative Automation and Robotics Software Systems;Z. Salcic, U. Atmojo, Heejong Park, A. Chen, K. Wang;10.1109/TII.2017.2786280;https://doi.org/10.1109/TII.2017.2786280;IEEE Transactions on Industrial Informatics;18;2019;maybe;While interoperability is central to the paper, it focuses on hardware and middleware integration rather than programming language interoperability.;maybe;Cannot be determined from the abstract alone.;maybe;"While the paper discusses system integration, it doesn't specifically focus on interaction between different programming languages. It mentions ""heterogeneity of execution platforms"" but this appears to be more about hardware and middleware integration.";no;The abstract doesn't explicitly mention analysis of systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering field, focusing on system integration and programming languages.;maybe;The abstract mentions demonstration on an industrial automation system but doesn't explicitly detail assessment methods for interoperability.;yes;The paper includes a demonstration of the approach on an industrial automation system, providing some empirical evidence.;yes;The paper clearly goes beyond NLP, focusing on industrial automation and robotics.;maybe;The paper strongly focuses on integration and interoperability, but at the hardware/middleware level rather than programming language level.;maybe;The abstract does not explicitly mention multiple programming languages. While it discusses integration of different systems, it focuses on SystemJ as the primary language.;no;The focus is not on multilingual systems in terms of programming languages, but rather on heterogeneous hardware systems.;yes;The paper presents technical evidence and solutions rather than just opinions.;maybe;The paper presents a technical solution (SOSJ) for integration, but not specifically for multilingual programming language integration.;Exclude;The research focuses on system integration and interoperability in industrial automation, primarily addressing hardware and middleware challenges rather than multilingual programming language interactions. While the study presents a technical solution for system integration, it does not meet the specific screening criteria related to programming language interoperability and multilingual software systems. The paper's scope and technical approach diverge from the targeted research focus on multilingual programming language integration.;2.7;EC1;The research focuses on system integration and interoperability in industrial automation, primarily addressing hardware and middleware challenges rather than multilingual programming language interactions. While the study presents a technical solution for syst…
Semantic interoperability for an integrated product development process: a systematic literature review;A. L. Szejka, O. C. Júnior, H. Panetto, E. Loures, A. Aubry;10.1080/00207543.2017.1346314;https://doi.org/10.1080/00207543.2017.1346314;International Journal of Production Research;29;2017;no;While interoperability is central to the paper, it's about manufacturing information exchange rather than programming language interaction.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;no;The paper focuses on semantic interoperability in manufacturing information exchange, not programming language interaction.;no;There is no evidence of the paper analyzing software systems built with multiple programming languages.;yes;The paper appears to be written in English, meeting this criterion.;no;The paper appears to be from a manufacturing/industrial engineering field rather than software engineering or programming languages.;no;The paper presents a systematic literature review methodology, but not specifically for evaluating multilingual software interoperability.;no;The paper is a literature review rather than an empirical study of software systems.;no;The paper focuses on manufacturing information exchange, which is different from the software integration scope we're looking for.;no;While the paper addresses interoperability, it's in the context of manufacturing information exchange, not software integration.;no;The abstract does not explicitly mention multiple programming languages. It discusses semantic interoperability in a manufacturing context, but not specifically about programming languages.;no;The paper doesn't focus on software systems handling multiple languages.;yes;The paper presents a systematic review methodology, which is a valid research type.;no;While the paper discusses interoperability solutions, they're not focused on software integration or programming languages.;Exclude;The systematic literature review focuses on semantic interoperability in manufacturing information exchange, fundamentally diverging from the screening criteria's emphasis on multilingual programming language integration. Despite being a rigorous research methodology, the paper fails to address key requirements such as programming language interaction, software system analysis, and technical solutions for multilingual software integration. Consequently, the study does not align with the specified screening criteria for multilingual software research.;1.4;EC1;The systematic literature review focuses on semantic interoperability in manufacturing information exchange, fundamentally diverging from the screening criteria's emphasis on multilingual programming language integration. Despite being a rigorous research meth…
Negotiating Multilingual Quality in Component Content-Management Environments;T. Batova;10.1109/TPC.2017.2747278;https://doi.org/10.1109/TPC.2017.2747278;IEEE Transactions on Professional Communication;9;2018;no;The paper focuses on content management and translation challenges, not programming language interoperability.;maybe;Cannot be determined from abstract alone.;no;The paper focuses on natural language translation and content management, not programming language interaction.;no;While it discusses multilingual systems, these are content management systems for natural languages, not programming languages.;yes;The paper is written in English.;no;The paper appears to be from technical communication field rather than software engineering or programming languages.;no;While the paper presents research methods, they are not focused on programming language interoperability assessment.;no;The paper includes empirical evaluation through a case study, but not of programming language integration.;no;The paper focuses specifically on content management and translation, which is a form of natural language processing.;no;The paper discusses integration challenges, but in the context of content management and translation, not programming languages.;no;The paper discusses multilingual content management, but focuses on natural language translation rather than programming languages.;no;While the paper focuses on multilingual systems, it's in the context of natural language translation, not programming languages.;yes;The paper presents technical and empirical evidence through a case study.;no;The paper discusses strategies for content management, but not technical solutions for programming language integration.;Exclude;The research paper focuses on multilingual content management in technical communication, primarily addressing natural language translation challenges rather than programming language interoperability. Despite being a rigorous empirical study, the work does not meet the screening criteria related to software engineering, programming language integration, or technical system interoperability. The study's scope is fundamentally misaligned with the specified research requirements.;1.4;EC1;The research paper focuses on multilingual content management in technical communication, primarily addressing natural language translation challenges rather than programming language interoperability. Despite being a rigorous empirical study, the work does no…
Language-Independent and Automated Software Composition: The FeatureHouse Experience;S. Apel, Christian Kästner, C. Lengauer;10.1109/TSE.2011.120;https://doi.org/10.1109/TSE.2011.120;IEEE Transactions on Software Engineering;124;2013;yes;The main subject of the paper is the technical challenge of composing software artifacts across different programming languages using superimposition.;maybe;The full-text accessibility cannot be determined from the abstract alone.;yes;The paper specifically focuses on the composition of software artifacts written in different programming languages.;yes;The paper explicitly names multiple general-purpose programming languages and discusses their integration.;yes;The abstract is written in English, meeting the publication language requirement.;yes;The content is clearly within the software engineering field, focusing on software composition and integration.;maybe;"The abstract mentions ""case studies"" but does not explicitly detail assessment methods or metrics.";yes;"The abstract mentions ""substantial number of case studies"" and ""rich experience with numerous languages,"" indicating the inclusion of empirical evidence.";yes;The focus is on general software integration, not just natural language processing.;yes;The paper's core focus is on integration and composition across different programming languages.;yes;The paper explicitly addresses multiple programming languages, including Java, C#, C, Haskell, Alloy, and JavaCC, indicating that it supports systems with multiple languages.;yes;The paper specifically addresses systems handling multiple programming languages.;yes;The paper presents technical solutions and empirical evidence through case studies.;yes;The paper presents the FEATUREHOUSE framework and tool chain as a technical solution for multilingual software integration.;Include;This research comprehensively addresses multilingual software integration by presenting a technical framework (FEATUREHOUSE) that enables composition across multiple programming languages including Java, C#, C, Haskell, and others. The study provides empirical evidence through case studies, demonstrating a robust approach to software interoperability that goes beyond traditional language-specific integration challenges. By offering a language-independent model and tool chain, the research systematically tackles the technical complexities of multilingual software development.;4.9;IC;"Meets IC; supported language."
Towards an information semantic interoperability in smart manufacturing systems: contributions, limitations and applications;Ramon Martinez Pereira, A. L. Szejka, O. C. Júnior;10.1080/0951192X.2021.1891571;https://doi.org/10.1080/0951192X.2021.1891571;International journal of computer integrated manufacturing (Print);14;2021;maybe;While interoperability is central to the paper, it's focused on semantic interoperability in manufacturing systems, not programming language interoperability.;maybe;Cannot be determined from the abstract alone.;maybe;The paper focuses on semantic interoperability in manufacturing systems, but not specifically between programming languages. It's about information exchange between manufacturing systems.;no;No explicit mention of software systems built with multiple programming languages.;yes;The abstract is in English, meeting this criterion.;yes;The paper appears to be from a software engineering/industrial systems context, likely meeting this criterion.;maybe;The paper mentions a classification system for analyzing articles but doesn't present specific metrics for evaluating multilingual software interoperability.;no;The paper is a literature review and doesn't present empirical evaluation of software systems.;yes;The paper goes beyond NLP, focusing on manufacturing systems integration.;maybe;The paper does address integration challenges, but in the context of manufacturing systems rather than multilingual software.;maybe;"The abstract does not explicitly mention multiple programming languages. It discusses ""heterogeneous information"" but in the context of manufacturing systems, not programming languages.";no;The focus is on manufacturing systems integration, not software systems handling multiple languages.;yes;The paper presents a systematic literature review and proposes an architecture, meeting this criterion.;maybe;The paper proposes a preliminary architecture using semantic web approach, but not specifically for multilingual software integration.;Exclude;The research focuses on semantic interoperability in manufacturing systems, not multilingual programming language integration, which fundamentally diverges from the screening criteria's requirements. While the paper addresses integration and interoperability, it lacks specific elements related to programming language interactions, multilingual software systems, and empirical evidence of language-based technical challenges. Consequently, the abstract does not meet the majority of the defined screening criteria for multilingual software research.;2.5;EC1;The research focuses on semantic interoperability in manufacturing systems, not multilingual programming language integration, which fundamentally diverges from the screening criteria's requirements. While the paper addresses integration and interoperability, …
LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead;Junda He, Christoph Treude, David Lo;10.1145/3712003;https://doi.org/10.1145/3712003;ACM Transactions on Software Engineering and Methodology;19;2024;no;The paper focuses on LLM integration into multi-agent systems, not programming language interoperability.;maybe;The full-text accessibility cannot be determined from the abstract alone.;no;The abstract does not discuss interaction between components written in different programming languages. It focuses on LLMs and multi-agent systems.;no;There is no evidence of analyzing software systems built with multiple programming languages.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be in the software engineering field, meeting this criterion.;no;While the paper mentions case studies, these are not specifically about multilingual software interoperability.;no;The paper includes case studies, but not of multilingual software systems.;maybe;The paper goes beyond NLP, discussing software engineering applications, but not in the context of programming language integration.;no;The paper discusses integration, but of LLMs into multi-agent systems, not programming language integration.;no;The abstract does not explicitly discuss multiple programming languages. It focuses on Large Language Models (LLMs) and Multi-Agent systems, but not in the context of programming language integration.;no;The focus is on LLMs and multi-agent systems, not software systems handling multiple programming languages.;yes;The paper presents technical and empirical evidence through case studies and systematic review.;no;While technical solutions are presented, they are not for multilingual software integration.;Exclude;The research focuses on Large Language Models and multi-agent systems in software engineering, but does not address programming language interoperability or multilingual software integration. Despite being a technical paper with empirical evidence, it fails to meet key screening criteria related to language collaboration, system integration, and multilingual programming challenges. The study's scope is fundamentally different from the targeted research domain of multilingual software systems.;2.5;EC1;The research focuses on Large Language Models and multi-agent systems in software engineering, but does not address programming language interoperability or multilingual software integration. Despite being a technical paper with empirical evidence, it fails to…
Semantic issues in model-driven management of information system interoperability;F. Bénaben, Nicolas Boissel-Dallier, H. Pingaud, J. Lorré;10.1080/0951192X.2012.684712;https://doi.org/10.1080/0951192X.2012.684712;International journal of computer integrated manufacturing (Print);37;2013;maybe;While interoperability is central to the paper, it's focused on information systems and business processes rather than programming language interaction.;maybe;The full-text accessibility cannot be determined from the abstract alone.;maybe;The paper focuses on interoperability between information systems, but not specifically between programming languages. It discusses semantic issues and model transformations, but not language-level integration.;no;There is no explicit mention of specific programming languages or multilingual systems.;yes;The abstract is written in English, meeting this criterion.;yes;The paper appears to be from a software engineering context, focusing on information systems engineering.;maybe;The abstract mentions model transformations and semantic gap analysis, but not specifically for programming language interoperability.;maybe;"The abstract mentions ""past, current and future research works"" but doesn't explicitly state whether empirical evaluation is included.";yes;The paper goes beyond NLP, focusing on information, functions, and processes integration.;maybe;The paper strongly focuses on integration and interoperability, but at the information system level rather than programming language level.;maybe;The abstract does not explicitly mention multiple programming languages. It discusses interoperability between information systems, but not specifically programming languages.;maybe;The focus is on collaborative networks and information systems, not specifically multilingual systems.;yes;The paper appears to present technical evidence and approaches rather than just opinions.;maybe;The paper presents a technical solution (MISE approach) but not specifically for multilingual software integration.;Exclude;The research focuses on information system interoperability and collaborative networks, but lacks explicit discussion of multilingual programming language integration. While the study addresses technical challenges in system integration, it does not meet the specific screening criteria related to programming language interaction and multilingual software systems. The paper's scope and approach diverge from the targeted research requirements.;2.7;EC1;The research focuses on information system interoperability and collaborative networks, but lacks explicit discussion of multilingual programming language integration. While the study addresses technical challenges in system integration, it does not meet the s…
Metamorphic Testing for Software Quality Assessment: A Study of Search Engines;Z. Zhou, Shaowen Xiang, T. Chen;10.1109/TSE.2015.2478001;https://doi.org/10.1109/TSE.2015.2478001;IEEE Transactions on Software Engineering;147;2016;no;The paper focuses on testing challenges, not programming language interoperability.;maybe;Cannot be determined from abstract alone.;no;The paper does not address interaction between different programming languages. It focuses on testing search engines.;no;While multiple search engines are mentioned, there's no indication of analysis of systems built with multiple programming languages.;yes;The abstract is in English.;yes;The paper appears to be about software testing and verification, which falls within software engineering.;maybe;The paper presents assessment methods (metamorphic testing), but not for multilingual software interoperability.;maybe;The paper includes empirical evaluation, but not of multilingual software systems.;no;The paper focuses on search engines and testing, not software integration.;no;The paper does not address programming language integration challenges.;no;The abstract mentions Chinese Bing and Baidu, suggesting multiple language support, but this appears to be about search engines rather than programming languages.;no;While search engines handle multiple languages, this is not about software systems handling multiple programming languages.;yes;The paper presents technical and empirical evidence.;no;The paper presents technical solutions for testing, but not for multilingual software integration.;Exclude;The research paper focuses on metamorphic testing of search engines, primarily addressing software verification techniques rather than multilingual programming language interoperability. Despite being a technically rigorous study with empirical evidence, the work does not meet the core screening criteria related to programming language integration, multilingual system development, or language-specific software challenges. Consequently, the paper falls outside the targeted research domain for multilingual software systems.;1.4;EC1;The research paper focuses on metamorphic testing of search engines, primarily addressing software verification techniques rather than multilingual programming language interoperability. Despite being a technically rigorous study with empirical evidence, the w…
Implementing standards for the interoperability among healthcare providers in the public regionalized Healthcare Information System of the Lombardy Region;Fulvio Barbarito, F. Pinciroli, J. Mason, S. Marceglia, Luca Mazzola, S. Bonacina;10.1016/j.jbi.2012.01.006;https://doi.org/10.1016/j.jbi.2012.01.006;Journal of Biomedical Informatics;73;2012;no;While interoperability is central to the paper, it's about healthcare system integration rather than programming language interoperability.;yes;The paper is published by Elsevier, suggesting it's accessible through academic channels.;no;The paper doesn't address programming language interaction. It focuses on healthcare system interoperability through standards like HL7.;no;There is no evidence of multiple programming languages being used in the system.;yes;The paper is written in English, meeting this criterion.;no;While this is a technical paper, it's focused on healthcare information systems rather than software engineering or programming languages specifically.;maybe;The paper presents some metrics (e.g., number of prescriptions, reports) but not specifically for programming language interoperability.;yes;The paper includes empirical data about the system's implementation and usage.;no;The integration discussed is specific to healthcare systems, not programming language integration.;no;The paper does address integration challenges, but at the healthcare system level rather than programming language level.;no;The abstract does not explicitly discuss multiple programming languages. It focuses on healthcare information systems and HL7 standards, but not language-level interoperability.;no;The system handles multiple healthcare providers but not multiple programming languages.;yes;The paper presents technical and empirical evidence, meeting this criterion.;no;The paper presents technical solutions (HL7, IHE profiles) but for healthcare system integration, not programming language integration.;Exclude;The paper focuses on healthcare information system integration in Lombardy, Italy, using HL7 standards, but does not address programming language interoperability or multilingual software systems. While technically robust and empirically grounded, the research fails to meet key screening criteria related to programming language interaction and multilingual software integration. The study's primary contribution lies in healthcare system standardization rather than software engineering language challenges.;1.4;EC1;The paper focuses on healthcare information system integration in Lombardy, Italy, using HL7 standards, but does not address programming language interoperability or multilingual software systems. While technically robust and empirically grounded, the research…
A maturity model for catalogues of semantic artefacts;Óscar Corcho, Fajar J. Ekaputra, Ivan Heibi, C. Jonquet, A. Micsik, S. Peroni, Emanuele Storti;10.1038/s41597-024-03185-4;https://doi.org/10.1038/s41597-024-03185-4;Scientific Data;9;2023;no;While interoperability is central, it is about semantic artifacts rather than programming languages.;maybe;The full-text accessibility of the paper cannot be determined from the abstract alone.;no;The paper focuses on semantic interoperability but not specifically between programming languages.;no;The paper does not mention any specific software systems using multiple programming languages.;yes;The abstract is written in English.;yes;The paper appears to be from a software engineering context, focusing on semantic interoperability.;yes;The paper presents a maturity model with 12 dimensions and 43 features for assessment, but this is not specifically for the type of interoperability being looked for.;yes;The study includes assessment of 26 different catalogues, but this is not specifically for the type of interoperability being looked for.;yes;The paper goes beyond NLP, focusing on semantic artifacts and interoperability.;maybe;The paper addresses interoperability, but at a semantic level rather than a programming language level.;no;The abstract does not explicitly mention multiple programming languages, and instead focuses on semantic interoperability in general.;no;The paper does not have a clear focus on multilingual systems in terms of programming languages.;yes;The paper presents technical evidence and assessment methods.;maybe;The paper presents a maturity model as a technical solution, but not for programming language integration.;Exclude;The research presents a maturity model for semantic interoperability, but fails to meet key criteria related to multilingual programming systems. While the study offers robust assessment methods and empirical evidence, it does not address programming language integration or multilingual software challenges. Consequently, the paper does not align with the specific screening requirements for multilingual software system research.;2.5;EC1;The research presents a maturity model for semantic interoperability, but fails to meet key criteria related to multilingual programming systems. While the study offers robust assessment methods and empirical evidence, it does not address programming language …
Experimental IR Meets Multilinguality, Multimodality, and Interaction;Philipp Schaer, Mandy Neumann;10.1007/978-3-319-98932-7;https://doi.org/10.1007/978-3-319-98932-7;Lecture Notes in Computer Science;96;2018;no;The focus appears to be on information access and retrieval, not programming language interoperability.;maybe;Cannot be determined from the abstract alone.;no;The abstract does not mention anything about programming language interaction or components written in different programming languages.;no;No mention of specific software systems or programming languages.;yes;The abstract is in English.;maybe;CLEF appears to be a conference focused on information retrieval and access, which is related to but not primarily focused on software engineering or programming languages.;no;While evaluation is mentioned, it's in the context of information access, not software interoperability.;no;While evaluation is mentioned, it's not in the context of multilingual software systems.;no;The focus appears to be specifically on information access and retrieval, which is related to natural language processing.;no;No discussion of software integration or interoperability challenges.;maybe;"The abstract mentions ""multilingual"" information access, suggesting multiple languages are considered, but it's unclear if this refers to programming languages or natural languages.";no;"While ""multilingual"" is mentioned, it appears to refer to natural language processing rather than programming languages.";yes;The abstract suggests technical content rather than just opinions.;no;No mention of technical solutions for software integration.;Exclude;The abstract focuses on multilingual information access and retrieval in natural language contexts, not programming language interoperability. Despite mentioning multilingual aspects, the text fails to meet most screening criteria related to software engineering, programming language integration, and technical system challenges. The research appears to be centered on information retrieval rather than multilingual software system development.;1.4;EC1;The abstract focuses on multilingual information access and retrieval in natural language contexts, not programming language interoperability. Despite mentioning multilingual aspects, the text fails to meet most screening criteria related to software engineeri…
