Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language
Assessing interoperability requirements in networked enterprises: A model-based system engineering approach,2017,-,https://doi.org/10.1002/INST.12174,Exclude,EC1,"The abstract focuses on enterprise-level system interoperability rather than programming language interaction, failing to meet most screening criteria related to multilingual software systems. While technically sound in systems engineering, the paper does not …",maybe,yes
Towards Ensuring Software Interoperability Between Deep Learning Frameworks,2023,Journal of Artificial Intelligence and Soft Computing Research,https://doi.org/10.2478/jaiscr-2023-0016,Exclude,EC4,Cannot be determined from the abstract alone.,no,yes
Managing Interoperability and Complexity in Health Systems,2015,Methods of Information in Medicine,https://doi.org/10.3414/ME15-10-0001,Exclude,EC1,"The abstract focuses on clinical informatics systems and their integration challenges, which fundamentally differs from the systematic review's criteria of programming language interoperability. Despite addressing integration and technical approaches, the pape…",maybe,yes
Novel strategies for global manufacturing systems interoperability,2014,Journal of Intelligent Manufacturing,https://doi.org/10.1007/s10845-014-0948-x,Exclude,EC1,"The abstract focuses on manufacturing systems interoperability and lacks any substantive discussion of multilingual software systems or programming language integration. Despite being a technical research paper in English, it fundamentally fails to meet the co…",maybe,yes
Is Fragmentation a Threat to the Success of the Internet of Things?,2018,IEEE Internet of Things Journal,https://doi.org/10.1109/JIOT.2018.2863180,Exclude,EC1,"The systematic literature review on IoT interoperability fails to meet critical screening criteria related to multilingual software systems, programming language interaction, and language-specific integration challenges. Despite being a rigorous software engin…",maybe,yes
The state of adoption and the challenges of systematic variability management in industry,2020,Empirical Software Engineering,https://doi.org/10.1007/s10664-019-09787-6,Exclude,EC2,"The research paper focuses on software variability management and product line engineering, but does not address multilingual programming or language interoperability. Despite being a rigorous empirical study in software engineering, the abstract fails to meet…",maybe,yes
Classifying Interoperability Problems in Cyber-Physical Systems: Empirical Cases From OpenWrt,2024,IEEE Systems Journal,https://doi.org/10.1109/JSYST.2024.3426541,Exclude,EC1,"The research addresses interoperability in cyber-physical systems but lacks specific focus on multilingual programming language interactions. While demonstrating strong methodological rigor and empirical evidence, the study does not meet key screening criteria…",maybe,yes
A study of semantic integration across archaeological data and reports in different languages,2018,Journal of information science,https://doi.org/10.1177/0165551518789874,Exclude,EC1,"The research paper focuses on semantic data integration in archaeological contexts, primarily addressing natural language processing and data integration challenges rather than programming language interoperability. Despite presenting a technically sophisticat…",maybe,yes
Translation strategies of Koha for multilingual interface management,2022,Library Hi Tech News,https://doi.org/10.1108/lhtn-01-2022-0015,Exclude,EC1,"The study focuses on translating library management software (Koha) into multiple languages, but does not address technical interoperability between programming languages. While demonstrating multilingual support and empirical research methods, the paper prima…",maybe,yes
Earth Science Infrastructures Interoperability: The Brokering Approach,2013,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://doi.org/10.1109/JSTARS.2013.2243113,Exclude,EC1,"The abstract discusses system interoperability across disciplinary domains, but does not address programming language integration or multilingual software systems. While the paper presents technical solutions for system integration, it fails to meet the specif…",maybe,yes
Semantic interoperability in health records standards: a systematic literature review,2022,Health technology,https://doi.org/10.1007/s12553-022-00639-w,Exclude,EC1,"The systematic literature review focuses on healthcare data interoperability, not programming language integration, failing to meet key screening criteria related to multilingual software systems. While the paper demonstrates technical rigor and addresses inte…",maybe,yes
Building the Bridge: Topic Modeling for Comparative Research,2021,Communication Methods and Measures,https://doi.org/10.1080/19312458.2021.1965973,Exclude,EC1,"The research focuses on multilingual topic modeling in communication research, specifically addressing human language processing rather than programming language interoperability. Despite presenting technical solutions and empirical evidence, the study does no…",maybe,yes
Technological e-Government Interoperability. An Analysis of IberoAmerican Countries,2011,IEEE Latin America Transactions,https://doi.org/10.1109/TLA.2011.6129711,Exclude,EC1,"The abstract describes an interoperability framework study focused on administrative and organizational contexts, lacking specific focus on multilingual programming language interactions or software engineering challenges. While the paper addresses technical i…",maybe,yes
TExSIS: Bilingual terminology extraction from parallel corpora using chunk-based alignment.,2013,-,https://doi.org/10.1075/TERM.19.1.01MAC,Exclude,EC1,"The research paper focuses on natural language processing and terminology extraction across multiple languages, but does not address programming language interoperability or integration. While technically rigorous and presenting empirical evidence, the study f…",maybe,yes
Integrating conceptual and logical couplings for change impact analysis in software,2012,Empirical Software Engineering,https://doi.org/10.1007/s10664-012-9233-9,Exclude,EC1,"The research paper focuses on change impact analysis in software systems, presenting an empirical study of code coupling techniques across multiple open-source systems. Despite being a rigorous technical study, the work does not address multilingual software s…",maybe,yes
Introduction to Interoperability for Heterogeneous IoT Platforms,2021,Internet of Things,https://doi.org/10.1007/978-3-030-82446-4_1,Exclude,EC1,"The abstract describes an IoT interoperability solution that fails to meet most screening criteria related to multilingual software systems and programming language interaction. While technically sound and addressing system-level integration, the paper does no…",maybe,yes
Assessing the impact of real-time machine translation on multilingual meetings in global software projects,2015,Empirical Software Engineering,https://doi.org/10.1007/s10664-015-9372-x,Exclude,EC1,"The research primarily addresses natural language translation in software development communication, falling short of the systematic review's focus on programming language interoperability. Despite being a rigorous empirical study in software engineering, the …",maybe,yes
Semantic Interoperability of Electronic Health Records: Systematic Review of Alternative Approaches for Enhancing Patient Information Availability,2024,JMIR Medical Informatics,https://doi.org/10.2196/53535,Exclude,EC1,"The systematic review focuses on semantic interoperability in healthcare systems, fundamentally diverging from the screening criteria's emphasis on programming language integration. Despite being a rigorous scientific study, the paper fails to address multilin…",maybe,yes
Representing interlingual meaning in lexical databases,2023,Artificial Intelligence Review,https://doi.org/10.1007/s10462-023-10427-1,Exclude,EC1,"The abstract describes a study on multilingual lexical databases, focusing on language representation and mapping challenges, but does not address programming language interoperability or software system integration. While the paper demonstrates technical rigo…",maybe,yes
Model-based approaches for interoperability of next generation enterprise information systems: state of the art and future challenges,2016,Information Systems and E-Business Management,https://doi.org/10.1007/s10257-016-0317-8,Exclude,EC1,"The abstract focuses on enterprise information systems interoperability at a high level, lacking specific details about multilingual programming language interactions. While addressing system integration challenges, the paper does not meet key screening criter…",maybe,yes
A survey of methods to ease the development of highly multilingual text mining applications,2011,Language Resources and Evaluation,https://doi.org/10.1007/s10579-011-9165-9,Exclude,EC1,"The paper addresses multilingual text processing and natural language processing systems, but does not meet the screening criteria focused on programming language interoperability. While demonstrating technical expertise in multilingual systems, the research f…",maybe,yes
A Systematic Review on the Data Interoperability of Application Layer Protocols in Industrial IoT,2021,IEEE Access,https://doi.org/10.1109/ACCESS.2021.3094763,Exclude,EC1,"The systematic literature review focuses on IoT protocol interoperability rather than programming language interaction, missing key criteria related to multilingual software systems. While the paper demonstrates technical rigor in examining integration challen…",maybe,yes
Semiotics-based manufacturing systems integration in the advent of a single electronic market,2010,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192X.2010.490274,Exclude,EC1,"The abstract focuses on organizational semiotics and business information systems, lacking specific evidence of multilingual programming language interoperability. While the paper discusses system integration and presents a framework, it does not meet the core…",maybe,yes
"The need for addressing multilingualism, ambiguity and interoperability for visual resources management across metadata platforms",2020,First Monday,https://doi.org/10.5210/fm.v26i1.10378,Exclude,EC4,Cannot be determined from abstract alone.,no,yes
Interoperability for Industrial Cyber-Physical Systems: An Approach for Legacy Systems,2017,IEEE Transactions on Industrial Informatics,https://doi.org/10.1109/TII.2017.2740434,Exclude,EC1,"The abstract describes an industrial systems integration approach focusing on operational technology and information technology domains, but lacks specific discussion of multilingual programming language interoperability. While the paper presents a technical s…",maybe,yes
"Data interoperability assessment, case of messaging‐based data exchanges",2023,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.2538,Exclude,EC1,"The research addresses data interoperability and system interactions, but does not specifically focus on programming language interactions or multilingual software systems. While the study presents a robust technical approach with empirical validation, it fall…",maybe,yes
Data Integration and Interoperability: Towards a Model-Driven and Pattern-Oriented Approach,2022,Modelling,https://doi.org/10.3390/modelling3010008,Exclude,EC1,"The research focuses on data model integration and interoperability, but does not address multilingual programming language interactions or systems. While technically sound and presenting a method for data transformation, the paper fails to meet the specific s…",maybe,yes
Survey of Interoperability Challenges in the Internet of Vehicles,2022,IEEE transactions on intelligent transportation systems (Print),https://doi.org/10.1109/TITS.2022.3194413,Exclude,EC1,"The abstract focuses on Internet of Vehicles (IoV) interoperability across different domains, but does not address programming language integration or multilingual software systems. Despite discussing technical challenges and solutions, the paper fails to meet…",maybe,yes
Software integration model: An assessment tool for global software development vendors,2023,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.2540,Exclude,EC1,"The research paper addresses global software development and integration challenges, but lacks specific focus on multilingual programming language interactions. While presenting a comprehensive software integration model with empirical evidence, the study does…",maybe,yes
"Managing linguistic obstacles in multidisciplinary, multinational, and multilingual research projects",2024,PLoS ONE,https://doi.org/10.1371/journal.pone.0311967,Exclude,EC1,"The abstract describes a study on multilingual research team collaboration, focusing on human communication challenges rather than software systems or programming language interoperability. Despite being an empirical research paper, it fails to meet most scree…",maybe,yes
"Integrating technical and business aspects in Software as a Service: Systematic literature review, trends, and research directions",2024,Information Development,https://doi.org/10.1177/02666669241287499,Exclude,EC1,"The systematic review abstract focuses on SaaS integration and business models, lacking any substantive discussion of multilingual software systems or programming language interoperability. Despite meeting some general research criteria like publication langua…",maybe,yes
Design and Evaluate the Efficiency of Ethiopic Local Integrating System in Open-Source Database,2022,IEEE Access,https://doi.org/10.1109/ACCESS.2022.3218418,Exclude,EC1,"The research primarily addresses Amharic locale support in database systems, focusing on localization challenges rather than multilingual programming language integration. While the study presents a technical solution with empirical evidence, it does not meet …",maybe,yes
Computer technologies to integrate medical treatments to manage multimorbidity,2017,Journal of Biomedical Informatics,https://doi.org/10.1016/j.jbi.2017.09.009,Exclude,EC1,"The abstract describes a medical informatics study focused on clinical practice guidelines and knowledge representation, which fundamentally diverges from the systematic review's criteria about programming language interoperability. Despite being in English an…",yes,yes
"The advantages of an Ontology-Based Data Management approach: openness, interoperability and data quality",2016,Scientometrics,https://doi.org/10.1007/s11192-016-1913-6,Exclude,EC1,"The abstract describes a technical approach to database interoperability using ontology-based data management, but fails to meet most screening criteria related to multilingual programming language systems. Specifically, the paper does not address programming …",maybe,yes
"Information systems for enterprise integration, interoperability and networking: theory and applications",2013,Enterprise Information Systems,https://doi.org/10.1080/17517575.2012.684802,Exclude,EC2,"The abstract focuses on enterprise system integration and interoperability at a high level, but lacks specific details about multilingual programming language interactions. While addressing broad enterprise collaboration themes, the text does not meet the syst…",maybe,yes
The Challenges of Semantic Interoperability in the Era of eScience on the Web,2020,Knowledge organization,https://doi.org/10.5771/0943-7444-2020-8-680,Exclude,EC4,Cannot be determined from the abstract alone.,no,yes
A Survey of Interoperability Challenges and Solutions for Dealing With Them in IoT Environment,2022,IEEE Access,https://doi.org/10.1109/ACCESS.2022.3162219,Exclude,EC1,"The abstract discusses general system interoperability in smart city contexts, but fails to meet the specific screening criteria focused on programming language interaction and multilingual software systems. While the paper presents a comprehensive review of i…",maybe,yes
Science Arts & Métiers (SAM),2019,-,-,Exclude,EC1,"The abstract describes an industrial system integration approach that does not specifically address multilingual programming language interoperability. While the paper presents a technical solution for system integration, it lacks explicit focus on programming…",maybe,yes
Towards a cross-domain interoperable framework for natural hazards and disaster risk reduction information,2015,Natural Hazards,https://doi.org/10.1007/s11069-015-1786-7,Exclude,EC1,"The paper focuses on natural hazard data interoperability and does not address programming language interactions or multilingual software systems. Despite being a technical document about integration frameworks, it fundamentally fails to meet the screening cri…",maybe,yes
Assessing Systems Integration: A Conceptual Framework and a Method,2015,-,https://doi.org/10.1002/SRES.2221,Exclude,EC1,"The abstract describes a conceptual framework for systems integration in organizational theory, lacking any specific focus on multilingual software systems or programming language interoperability. Despite presenting a research methodology and empirical approa…",maybe,yes
Empirical Validation of Software Integration Practices in Global Software Development,2020,SN Computer Science,https://doi.org/10.1007/s42979-020-00175-2,Exclude,EC1,"The abstract describes a software engineering study on global software development integration, but lacks specific focus on multilingual programming language interactions. While the research presents empirical evidence and technical solutions for software inte…",maybe,yes
A Survey of Recent Trends in Testing Concurrent Software Systems,2018,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2017.2707089,Exclude,EC1,"The abstract describes a survey of testing techniques for concurrent software systems, focusing on technical challenges in multi-core and distributed architectures. Despite being a technical software engineering paper, it does not address multilingual software…",maybe,yes
IATE 2,2019,-,https://doi.org/10.1075/term.00034.zor,Exclude,EC1,"The abstract describes a multilingual terminology database system focused on data exchange and integration, but lacks specific evidence of programming language interoperability. While the paper addresses system modernization and technical strategies, it does n…",maybe,yes
Global Interoperability for Language Resources: Introduction to the Special Section,2012,Language Resources and Evaluation,https://doi.org/10.1007/s10579-012-9184-1,Exclude,EC4,Cannot be determined from the abstract alone.,no,yes
Global Interoperability for Language Resources: Introduction to the Special Section,2012,Language Resources and Evaluation,https://doi.org/10.1007/s10579-012-9184-1,Exclude,EC4,Cannot be determined from the abstract alone.,no,yes
The Current State of Component Content Management: An Integrative Literature Review,2015,IEEE Transactions on Professional Communication,https://doi.org/10.1109/TPC.2016.2516619,Exclude,EC1,"The literature review focuses on content management rather than software engineering, failing to meet most screening criteria related to multilingual software systems and programming language interoperability. While written in English and presenting a systemat…",maybe,yes
Holistic Human-Serving Digitization of Health Care Needs Integrated Automated System-Level Assessment Tools,2023,Journal of Medical Internet Research,https://doi.org/10.2196/50158,Exclude,EC1,"The abstract focuses on digital health system integration and interoperability, but does not address programming language interactions or multilingual software systems. Despite discussing technical integration challenges, the paper fails to meet the specific s…",maybe,yes
Designing Dynamic and Collaborative Automation and Robotics Software Systems,2019,IEEE Transactions on Industrial Informatics,https://doi.org/10.1109/TII.2017.2786280,Exclude,EC1,"The research focuses on system integration and interoperability in industrial automation, primarily addressing hardware and middleware challenges rather than multilingual programming language interactions. While the study presents a technical solution for syst…",maybe,yes
Semantic interoperability for an integrated product development process: a systematic literature review,2017,International Journal of Production Research,https://doi.org/10.1080/00207543.2017.1346314,Exclude,EC1,"The systematic literature review focuses on semantic interoperability in manufacturing information exchange, fundamentally diverging from the screening criteria's emphasis on multilingual programming language integration. Despite being a rigorous research meth…",maybe,yes
Negotiating Multilingual Quality in Component Content-Management Environments,2018,IEEE Transactions on Professional Communication,https://doi.org/10.1109/TPC.2017.2747278,Exclude,EC1,"The research paper focuses on multilingual content management in technical communication, primarily addressing natural language translation challenges rather than programming language interoperability. Despite being a rigorous empirical study, the work does no…",maybe,yes
"Towards an information semantic interoperability in smart manufacturing systems: contributions, limitations and applications",2021,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192X.2021.1891571,Exclude,EC1,"The research focuses on semantic interoperability in manufacturing systems, not multilingual programming language integration, which fundamentally diverges from the screening criteria's requirements. While the paper addresses integration and interoperability, …",maybe,yes
"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2024,ACM Transactions on Software Engineering and Methodology,https://doi.org/10.1145/3712003,Exclude,EC1,"The research focuses on Large Language Models and multi-agent systems in software engineering, but does not address programming language interoperability or multilingual software integration. Despite being a technical paper with empirical evidence, it fails to…",maybe,yes
Semantic issues in model-driven management of information system interoperability,2013,International journal of computer integrated manufacturing (Print),https://doi.org/10.1080/0951192X.2012.684712,Exclude,EC1,"The research focuses on information system interoperability and collaborative networks, but lacks explicit discussion of multilingual programming language integration. While the study addresses technical challenges in system integration, it does not meet the s…",maybe,yes
Metamorphic Testing for Software Quality Assessment: A Study of Search Engines,2016,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2015.2478001,Exclude,EC1,"The research paper focuses on metamorphic testing of search engines, primarily addressing software verification techniques rather than multilingual programming language interoperability. Despite being a technically rigorous study with empirical evidence, the w…",maybe,yes
Implementing standards for the interoperability among healthcare providers in the public regionalized Healthcare Information System of the Lombardy Region,2012,Journal of Biomedical Informatics,https://doi.org/10.1016/j.jbi.2012.01.006,Exclude,EC1,"The paper focuses on healthcare information system integration in Lombardy, Italy, using HL7 standards, but does not address programming language interoperability or multilingual software systems. While technically robust and empirically grounded, the research…",yes,yes
A maturity model for catalogues of semantic artefacts,2023,Scientific Data,https://doi.org/10.1038/s41597-024-03185-4,Exclude,EC1,"The research presents a maturity model for semantic interoperability, but fails to meet key criteria related to multilingual programming systems. While the study offers robust assessment methods and empirical evidence, it does not address programming language …",maybe,yes
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",2018,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-319-98932-7,Exclude,EC1,"The abstract focuses on multilingual information access and retrieval in natural language contexts, not programming language interoperability. Despite mentioning multilingual aspects, the text fails to meet most screening criteria related to software engineeri…",maybe,yes
Enriching ontologies with multilingual information†,2010,Natural Language Engineering,https://doi.org/10.1017/S1351324910000082,Exclude,EC1,"The paper addresses multilingual ontologies and natural language support, but does not meet the screening criteria focused on programming language interoperability. While technically sophisticated and presenting a novel approach to ontology localization, the r…",maybe,yes
Interlingual annotation of parallel text corpora: a new framework for annotation and evaluation,2010,Natural Language Engineering,https://doi.org/10.1017/S1351324910000070,Exclude,EC1,"The research focuses on natural language processing and translation annotation, which fundamentally differs from programming language interoperability. Despite addressing multilingual content, the study does not meet critical screening criteria related to soft…",maybe,yes
Evaluating Transferability in Multilingual Text Analyses,2023,Computational Communication Research,https://doi.org/10.5117/ccr2023.2.3.ho,Exclude,EC1,"The research focuses on multilingual text analysis and transferability of machine learning models across languages, primarily in the domain of natural language processing. While the study demonstrates technical rigor and empirical methodology, it does not addr…",maybe,yes
Data Interoperability Between Elements of the Global Ocean Observing System,2019,Frontiers in Marine Science,https://doi.org/10.3389/fmars.2019.00442,Exclude,EC1,"The abstract focuses on ocean data system interoperability, which fundamentally differs from the screening criteria's emphasis on multilingual programming language interactions. Despite addressing technical integration challenges, the paper lacks specific evid…",maybe,yes
Globalizing Domain-Specific Languages,2015,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-319-26172-0,Exclude,EC4,The full-text accessibility cannot be determined from the abstract alone.,no,no
"The foundation for future education, teaching, training, learning, and performing infrastructure - The open interoperability conceptual framework approach",2023,Heliyon,https://doi.org/10.1016/j.heliyon.2023.e16836,Exclude,EC1,"The abstract focuses on educational technology and stakeholder interoperability, fundamentally diverging from the screening criteria's emphasis on multilingual software systems and programming language interactions. Despite discussing integration and framework…",maybe,yes
An approach to define semantics for BPM systems interoperability,2015,Enterprise Information Systems,https://doi.org/10.1080/17517575.2013.767381,Exclude,EC1,"The research focuses on business process management and semantic interoperability, but does not address programming language-level interactions or multilingual software systems. Despite presenting a technical solution with empirical validation, the study fails…",maybe,yes
