Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language,Multiple Paradigms,Paradigmatic Compatibility Focus
Integrating goal-oriented measurement for evaluation of model transformation,2011,International Conference on Computer Science and Software Engineering,https://doi.org/10.1109/CSICSSE.2011.5964000,Exclude,EC1,"The paper does address multiple platforms and languages, but it's not clear if these represent different programming paradigms or just different technical platforms.",maybe,yes,maybe,no
A Rough Set Formalization of Quantitative Evaluation with Ambiguity,2012,International Conference on Language Resources and Evaluation,-,Exclude,EC2,"The paper presents a formal model for evaluation, but it is focused on natural language processing evaluation rather than paradigmatic compatibility or software measurement.",maybe,yes,no,no
On integration of programming paradigms,1996,CSUR,https://doi.org/10.1145/234528.234735,Exclude,EC6,"While the paper includes formal mathematical concepts, it does not appear to include quantitative measurements or empirical observations.",maybe,yes,yes,yes
Incremental to radical ideas: paradigm-relatedness metrics for investigating ideation creativity and diversity,2019,-,https://doi.org/10.1080/21650349.2018.1463177,Exclude,EC2,"The study is primary research, but it focuses on paradigm-relatedness in idea generation/creativity, not programming paradigms, which is a critical mismatch with the screening criteria.",maybe,yes,no,no
Bridging Scales and Paradigms in Natural Systems Modeling,2010,International Conference on Metadata and Semantics Research,https://doi.org/10.1007/978-3-642-16552-8_1,Exclude,EC1,"A novel modeling formalism addressing multiple programming paradigms demonstrates strong potential for paradigmatic integration, with explicit focus on combining agent-based, process-based, temporal, and spatial modeling approaches. While the abstract presents…",maybe,yes,yes,yes
"Towards query model integration: topology-aware, IR-inspired metrics for declarative graph querying",2013,International Conference on Extending Database Technology,https://doi.org/10.1145/2457317.2457350,Exclude,EC1,"The study demonstrates strong methodological rigor with empirical validation, quantitative metrics, and systematic analysis of data and query model integration. While addressing multiple paradigms and including experimental evidence, the research focuses more …",maybe,yes,maybe,maybe
An introduction to multi-paradigm modelling and simulation.,2002,-,-,Exclude,EC1,"The abstract demonstrates strong alignment with multiple paradigm integration and theoretical modeling concepts, but lacks clear empirical validation and quantitative measurement components. While addressing multi-formalism modeling and paradigm interactions, …",maybe,yes,yes,yes
The Viewpoint Paradigm: a semiotic based approach for the intelligibility of a cooperative designing process,2002,Australasian Journal of Information Systems,https://doi.org/10.3127/AJIS.V10I1.166,Exclude,EC2,"The paper appears to be primary research developing a formal model (Viewpoint Paradigm), but it is focused on modeling and knowledge management rather than paradigmatic compatibility in programming. It does not align well with the intended focus.",maybe,yes,no,no
Reconciling Feature Modeling: A Feature Modeling Metamodel,2004,Net.ObjectDays,https://doi.org/10.1007/978-3-540-30196-7_10,Exclude,EC6,"The paper appears to be more focused on conceptual modeling and metamodeling rather than quantitative measurements, so this criterion is likely not met.",maybe,yes,yes,maybe
Summary of the 6th International Workshop on Multi-Paradigm Modeling (MPM'12),2012,MPM '12,https://doi.org/10.1145/2508443.2508444,Exclude,EC2,"The paper is a workshop summary rather than primary research or a systematic review, so it does not meet the study type criterion.",maybe,yes,yes,maybe
Proceedings of the 6th International Workshop on Multi-Paradigm Modeling,2012,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,-,Exclude,EC1,"Multi-Paradigm Modeling research addresses paradigmatic compatibility through a workshop exploring model integration challenges across different formalisms. While the abstract demonstrates strong alignment with multiple paradigm interactions, significant uncer…",maybe,yes,yes,yes
Integrating diverse paradigms in evolution and maintenance by an XML-based unified model,2003,J. Softw. Maintenance Res. Pract.,https://doi.org/10.1002/smr.272,Exclude,EC1,"The abstract demonstrates strong alignment with criteria related to paradigmatic compatibility, proposing an XML-based model for integrating disparate software analysis methods. However, significant uncertainties exist regarding validation methods, empirical e…",maybe,yes,yes,yes
Complexity and Model Integration: Formalisations,2010,-,https://doi.org/10.1007/978-3-642-15603-8_4,Exclude,EC6,"The abstract suggests a theoretical/conceptual approach rather than quantitative analysis, and there is no mention of measurements or systematic observations.",maybe,yes,maybe,maybe
An Operational Process for Goal-Driven Definition of Measures,2002,IEEE Trans. Software Eng.,https://doi.org/10.1109/TSE.2002.1158285,Exclude,EC1,The paper does not address interactions between different programming paradigms. It focuses on measurement approaches in software engineering.,maybe,yes,no,no
Utilisation de la transformation de modeles pour faciliter la sélection de composants logiciels,2008,-,-,Exclude,EC1,The paper focuses on component-based engineering but doesn't explicitly address different programming paradigms.,maybe,yes,no,no
A scenario-based verification technique to assess the compatibility of collaborative business processes,2009,Data & Knowledge Engineering,https://doi.org/10.1016/j.datak.2008.12.002,Exclude,EC1,"The study explores compatibility and integration in business processes, presenting formal criteria for analyzing interactions between different paradigms. While demonstrating strong methodological rigor in examining semantic compatibility, the research diverge…",maybe,yes,yes,maybe
A Multi-Paradigm Modelling Approach for the Engineering of Modelling Languages,2014,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,-,Exclude,EC6,The abstract suggests a structured approach but does not explicitly mention quantitative measurements or systematic observations.,maybe,yes,maybe,maybe
Using paradigm-relatedness to measure design ideation shifts,2016,-,https://doi.org/10.18260/p.27156,Exclude,EC2,"This is primary research, but it focuses on design ideation and paradigm shifts in engineering design rather than programming paradigms. It does not investigate paradigmatic compatibility in software development.",maybe,yes,no,no
Comparing Reuse Mechanisms for Model Transformation Languages: Design for an Empirical Study,2016,HuFaMo@MoDELS,-,Exclude,EC1,"The study presents a rigorous experimental design comparing reuse mechanisms in model transformation languages, with strong empirical validation methods and quantitative components. While methodologically sound, the research does not directly address paradigma…",maybe,yes,maybe,maybe
An approach to integration of complex systems: the SAVI virtual integration process,2013,HILT '13,https://doi.org/10.1145/2527269.2527275,Exclude,EC1,"The study presents a comprehensive approach to system integration, focusing on architectural modeling languages and their compatibility through systematic validation methods and quantitative analysis. While addressing multiple paradigms and including empirical…",maybe,yes,yes,maybe
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) How to reach a usable DSL ? Moving toward a Systematic Evaluation,2012,-,-,Exclude,EC1,The paper focuses on DSLs but does not explicitly address interactions between different programming paradigms. This criterion is not met.,maybe,yes,no,no
Should we simulate mental models to assess whether they agree?,2018,Spring Simulation Multiconference,https://doi.org/10.22360/springsim.2018.anss.012,Exclude,EC2,"The paper appears to be primary research, but it focuses on comparing mental models in policy coherence rather than programming paradigms. It does not investigate paradigmatic compatibility in the context of programming.",maybe,yes,no,no
Model Driven Conformance Testing for Standardized Services,2014,IEEE International Conference on Services Computing,https://doi.org/10.1109/SCC.2014.60,Exclude,EC2,"The paper presents primary research developing a formal framework for testing compliance, but it is not specifically focused on paradigmatic compatibility. Instead, it focuses on service interface compliance testing.",maybe,yes,no,no
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Semantic Adaptation using CCSL Clock Constraints,2012,-,-,Exclude,EC1,"The study addresses paradigmatic compatibility through semantic adaptation between different modeling paradigms, using formal methods like CCSL. While demonstrating strong theoretical foundations in multiple paradigm interactions, the abstract lacks clear evid…",maybe,yes,yes,yes
Semantic-structural assessment scheme for integrability in service-oriented applications,2014,Latin American Computing Conference / Conferencia Latinoamericana En Informatica,https://doi.org/10.1109/CLEI.2014.6965175,Exclude,EC1,"The study presents a rigorous empirical investigation of service compatibility within Service-Oriented Computing, utilizing quantitative metrics and a substantial dataset of 465 web services. While demonstrating strong methodological rigor through systematic v…",maybe,yes,maybe,maybe
SysML model-driven approach to verify blocks compatibility,2019,International Journal of Computer Aided Engineering and Technology,https://doi.org/10.1504/IJCAET.2019.10018253,Exclude,EC1,"While the paper mentions ""heterogeneous components,"" it doesn't specifically address different programming paradigms. The focus is on component compatibility within a SysML framework.",maybe,yes,no,maybe
Empirical Measure of Learnability: A Tool for Semantic Map Validation,2015,Biologically Inspired Cognitive Architectures,https://doi.org/10.1016/j.procs.2015.12.223,Exclude,EC2,"The paper appears to be primary research, but it focuses on semantic mapping and human learning rather than paradigmatic compatibility or software measurement, which are the core focus of the systematic review.",maybe,yes,no,no
Combining Topological and Metric: A Natural Integration for Simultaneous Localization and Map Building,2001,-,https://doi.org/10.3929/ETHZ-A-010107259,Exclude,EC1,"The study demonstrates strong methodological rigor through comprehensive empirical validation, quantitative measurements, and systematic integration of metric and topological paradigms in a robotics context. Multiple experimental approaches, including map comp…",maybe,yes,yes,yes
An overview on protocol adaptors for service component integration,2008,-,-,Exclude,EC1,"While the paper discusses different service components and their interactions, it does not explicitly address different programming paradigms. The focus is on service-oriented architecture rather than programming paradigms.",maybe,yes,no,no
NAOMI - An Experimental Platform for Multi-modeling,2008,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,https://doi.org/10.1007/978-3-540-87875-9_10,Exclude,EC1,"The study presents an experimental platform for integrating multiple domain-specific modeling languages, demonstrating strong potential for addressing paradigmatic compatibility across different modeling paradigms. While the abstract suggests systematic analys…",maybe,yes,yes,yes
"Modélisation des processus ""métier"" mis en oeuvre dans une approche EAI en vue de leur pilotage : le pilotage des applications intégrées",2004,-,-,Exclude,EC1,A French-language thesis exploring formal modeling frameworks for integrating heterogeneous applications across different business and data perspectives. The study demonstrates strong potential in addressing paradigmatic compatibility through architectural and…,maybe,yes,yes,yes
Quantitative analysis of scrolling techniques,2002,International Conference on Human Factors in Computing Systems,https://doi.org/10.1145/503376.503389,Exclude,EC2,"The study is primary research, but it focuses on evaluating scrolling interaction techniques rather than investigating paradigmatic compatibility or programming paradigms.",maybe,yes,no,no
Goal-Driven Definition of Product Metrics Based on Properties,1995,-,-,Exclude,EC2,"The paper appears to be primary research proposing a methodology for defining product metrics, but it does not specifically focus on paradigmatic compatibility or integration.",maybe,yes,no,no
Complexity Theory: A New Paradigm for Software Integration,2013,IT Professional,https://doi.org/10.1109/MITP.2012.87,Exclude,EC1,The abstract does not specifically address interactions between different programming paradigms.,maybe,yes,no,no
Breaking incommensurability boundaries? On the production and publication of interparadigmatic research,2023,Qualitative Research in Accounting &amp; Management,https://doi.org/10.1108/qram-09-2022-0147,Exclude,EC2,"The paper is a research essay that analyzes paradigmatic compatibility, but it is focused on research paradigms in accounting rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,maybe,no
"Software paradigms, assessment types and non-functional requirements in model-based integration testing: a systematic literature review",2014,International Conference on Evaluation & Assessment in Software Engineering,https://doi.org/10.1145/2601248.2601257,Exclude,EC1,"A systematic literature review on model-based integration testing that partially meets screening criteria through its methodological rigor and discussion of software paradigms. While the study includes quantitative components and systematic review methodology,…",maybe,yes,maybe,maybe
Constructing hybrid software process simulation models,2015,International Conference on Software and Systems Process,https://doi.org/10.1145/2785592.2785610,Exclude,EC1,"A systematic literature review exploring hybrid simulation paradigms demonstrates strong alignment with multiple screening criteria, particularly in addressing paradigmatic compatibility and multiple programming paradigms. While the study shows promise in anal…",maybe,yes,yes,yes
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Model Based Engineering for the support of Models of Computation : The Cometa Approach,2013,-,-,Exclude,EC1,"The study addresses paradigmatic compatibility in Real Time Embedded Systems by proposing a formal approach to model integration, focusing on execution semantics across different modeling paradigms. While demonstrating strong theoretical foundations in multipl…",maybe,yes,yes,yes
A comparative study of model transformation approaches through a systematic procedural framework and goal question metrics paradigm,2013,-,-,Exclude,EC1,"The study presents a comprehensive framework for model transformation quality, addressing multiple transformation approaches through systematic validation and case studies. While not directly focused on programming paradigms, the research demonstrates strong m…",maybe,yes,yes,maybe
"Synergizing Positivistic and Aesthetic Approaches to Improve the Development of Interactive, Visual Systems Design",2010,Proceedings of DRS,https://doi.org/10.21606/drs.2008.46,Exclude,EC1,"The study presents a rigorous investigation of paradigmatic compatibility through empirical research, featuring a systematic approach with quantitative validation across two distinct design paradigms. While demonstrating strong methodological elements includin…",maybe,yes,yes,maybe
A Manageable Model for Experimental Research Data: An Empirical Study in the Materials Sciences,2018,International Conference on Advanced Information Systems Engineering,https://doi.org/10.1007/978-3-319-91563-0_26,Exclude,EC2,"The paper describes an empirical study of a data management system, but it does not appear to investigate paradigmatic compatibility in programming. The ""paradigm change"" mentioned refers to data modeling rather than programming paradigms.",maybe,yes,no,no
Assessing and improving the quality of model transformations,2012,-,https://doi.org/10.6100/IR719526,Exclude,EC1,"The study presents a comprehensive investigation of model transformation quality and metrics, utilizing empirical methods and quantitative analysis across multiple modeling languages. While demonstrating strong methodological rigor and validation techniques, t…",maybe,yes,maybe,maybe
Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) A practical approach to multi-modeling views composition,2009,-,-,Exclude,EC1,"The abstract describes a model transformation approach that partially addresses paradigmatic compatibility, with a focus on Domain Specific Modeling Languages rather than programming paradigms. While the study involves multiple modeling languages and proposes …",maybe,yes,maybe,maybe
Validating expert systems,1990,IEEE Expert,https://doi.org/10.1109/64.54673,Exclude,EC2,"The paper presents a formal paradigm for validation, but it is focused on expert systems rather than paradigmatic compatibility between programming paradigms, which is a significant mismatch with the criterion.",maybe,yes,no,no
"A connectionist and a traditional AI quantizer, symbolic versus sub-symbolic models of rhythm perception",1993,-,https://doi.org/10.1080/07494469300640471,Exclude,EC1,"The study explores paradigmatic compatibility between Symbolic AI and Connectionist approaches, focusing on model comparison and integration in rhythm perception. While demonstrating strong alignment with multiple screening criteria, the abstract reveals parti…",maybe,yes,yes,yes
Towards an approach of formal verification of mediation protocol based on web services,2010,International Conference on Information Integration and Web-based Applications & Services,https://doi.org/10.1145/1967486.1967502,Exclude,EC1,"While the paper addresses heterogeneities between services, it does not explicitly discuss different programming paradigms, and the focus is on service composition rather than paradigmatic integration.",maybe,yes,no,maybe
Vers l'intégration des métarôles pour la recherche d'information collaborative,2015,Document Numérique,https://doi.org/10.3166/dn.18.2-3.9-38,Exclude,EC2,"The paper appears to be primary research, but it focuses on collaborative information retrieval and role-based division of labor, not paradigmatic compatibility in programming. This is a significant mismatch with the criterion.",maybe,yes,no,no
Increasing the reliability of energy system scenarios with integrated modelling: a review,2022,Environmental Research Letters,https://doi.org/10.1088/1748-9326/ac5cf5,Exclude,EC1,"The paper does address multiple paradigms and their integration, but these are modeling paradigms rather than programming paradigms.",maybe,yes,maybe,no
Second International Workshop on Multi-Paradigm Modeling: Concepts and Tools,2008,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,https://doi.org/10.1007/978-3-540-69073-3_25,Exclude,EC1,"A workshop summary addressing multi-paradigm modeling demonstrates strong alignment with paradigmatic compatibility and multiple paradigm criteria. However, the abstract lacks clear evidence of empirical validation, quantitative components, and systematic rese…",maybe,yes,yes,yes
Multi-paradigm modelling for cyber–physical systems: a descriptive framework,2021,Journal of Software and Systems Modeling,https://doi.org/10.1007/s10270-021-00876-z,Exclude,EC1,"A theoretical framework exploring multi-paradigm modeling in cyber-physical systems, addressing paradigmatic compatibility through a descriptive approach. While demonstrating strong conceptual insights into paradigm interactions, the study lacks empirical vali…",maybe,yes,yes,yes
Interfaces and binding in component based development of formal models,2009,ValueTools,https://doi.org/10.4108/ICST.VALUETOOLS2009.7677,Exclude,EC1,"The abstract describes a technical paper on component-based modeling that partially addresses interface compatibility and multiformalism models, but lacks clear empirical validation or direct focus on programming paradigm integration. While the study involves …",maybe,yes,maybe,maybe
Integration of the pathogenic exposure paradigm and the hierarchical immune system framework,2007,-,-,Exclude,EC2,"The paper appears to be primary research proposing an integration framework, but it is focused on immune system models rather than programming paradigms, which is a significant mismatch with the intended focus.",maybe,yes,no,no
Automated measurement of models of requirements,2011,Software quality journal,https://doi.org/10.1007/s11219-011-9163-6,Exclude,EC1,"The paper only explicitly mentions the object-oriented paradigm, though it does integrate requirements modeling with object-oriented approaches. This is a weak match for the criterion.",maybe,yes,maybe,no
Configuration management for models : generic methods for model comparison and model co-evolution,2011,-,https://doi.org/10.6100/IR716407,Exclude,EC1,"The research paper addresses model-driven software engineering with strong validation methods and empirical evidence, but does not directly focus on paradigmatic compatibility or integration as specified in the screening criteria. While the study includes mult…",maybe,yes,maybe,maybe
Integrating Information Systems,2001,Organizational Semiotics,https://doi.org/10.1007/978-0-387-35611-2_7,Exclude,EC6,There is no clear indication of quantitative components or measurements. The focus seems to be on theoretical frameworks and conceptual understanding.,maybe,yes,yes,maybe
Evaluation of Software Product Quality Metrics,2020,International Conference on Evaluation of Novel Approaches to Software Engineering,https://doi.org/10.1007/978-3-030-40223-5_8,Exclude,EC2,"The paper is primary research investigating software metrics and quality, but does not specifically focus on paradigmatic compatibility.",maybe,yes,no,no
A Graph-Based Framework for Multiparadigmatic Visual Access to Databases,1996,IEEE Transactions on Knowledge and Data Engineering,https://doi.org/10.1109/69.506712,Exclude,EC1,"A multiparadigmatic research approach exploring visual access integration across different interaction paradigms, with a strong focus on formal modeling and paradigmatic compatibility. The study demonstrates systematic exploration of multiple visual representa…",maybe,yes,yes,yes
A framework for understanding the integration of design methodologies,1995,SOEN,https://doi.org/10.1145/225907.225913,Exclude,EC1,"A framework for software design methodology integration is proposed, addressing multiple programming paradigms with a conceptual approach. While the study demonstrates strong potential in exploring paradigmatic compatibility, significant uncertainties exist re…",maybe,yes,yes,yes
Integration of maintenance in the enterprise: Towards an enterprise modelling-based framework compliant with proactive maintenance strategy,2001,-,https://doi.org/10.1080/09537280150501275,Exclude,EC2,"The paper focuses on enterprise modeling and maintenance systems, not on paradigmatic compatibility or software measurement, so it does not meet the study type criterion.",maybe,yes,no,no
Formalisation of Mediation Protocol for Web Services Composition with ACME/ARMANI ADL,2010,-,-,Exclude,EC1,"The study addresses service composition and mediation through formal methods, demonstrating strong alignment with paradigmatic compatibility and multiple programming paradigms. While the research provides a systematic approach using ADL and OCL, it lacks expli…",maybe,yes,yes,yes
On marrying ontological and metamodeling technical spaces,2007,ESEC-FSE companion '07,https://doi.org/10.1145/1295014.1295017,Exclude,EC6,"The abstract does not indicate any quantitative measurements or systematic observations, suggesting the paper may lack quantitative components.",maybe,yes,yes,yes
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Reusing Model Transformations across Heterogeneous Metamodels,2012,-,-,Exclude,EC1,"The study addresses multi-paradigm modeling through systematic model transformation techniques, demonstrating strong alignment with paradigmatic compatibility research. While the paper shows methodological rigor in addressing metamodel integration, there are s…",maybe,yes,yes,yes
Automatic Generation of Trace Links in Model-driven Software Development,2013,-,-,Exclude,EC2,"The paper presents primary research on model-driven software engineering and traceability, but does not specifically focus on paradigmatic compatibility. While it deals with model transformations and integration, it's more focused on traceability mechanisms.",maybe,yes,no,no
Practical Automated Partial Verification of Multi-paradigm Real-Time Models,2008,IEEE International Conference on Formal Engineering Methods,https://doi.org/10.1007/978-3-540-88194-0_19,Exclude,EC1,"The study presents a rigorous investigation of formal modeling paradigms, demonstrating strong empirical validation through verification tests and addressing multiple paradigmatic integration challenges. While primarily focused on formal modeling rather than p…",maybe,yes,yes,maybe
A measure for module cohesion,1995,-,-,Exclude,EC2,"The paper presents primary research investigating software measurement (module cohesion), but does not specifically address paradigmatic compatibility. It focuses on measuring cohesion within modules.",maybe,yes,no,no
Enterprise Inter- and Intra-Organizational Integration: Building International Consensus,2013,-,-,Exclude,EC2,This appears to be a conference proceedings overview rather than primary research or a systematic review of paradigm integration. It describes an initiative and its workshops but doesn't present specific research.,maybe,yes,maybe,maybe
Multi-Paradigm Process Management,2004,CAiSE Workshops,-,Exclude,EC1,"The paper does address multiple paradigms, but these are business process modeling paradigms rather than programming paradigms.",maybe,yes,maybe,no
Functional Programming Paradigm of Python for Scientific Computation Pipeline Integration,2024,arXiv.org,https://doi.org/10.48550/arXiv.2405.16956,Exclude,EC1,The study demonstrates strong alignment with paradigmatic compatibility research by addressing functional programming integration with Python architecture across multiple programming paradigms. While the abstract clearly presents a novel approach to data proce…,maybe,yes,yes,yes
Assessing continuity and compatibility in augmented reality systems,2002,Universal Access in the Information Society,https://doi.org/10.1007/s10209-002-0024-8,Exclude,EC2,"The paper appears to be primary research investigating compatibility, but it focuses on AR system integration rather than programming paradigms specifically, which is a significant mismatch with the intended focus.",maybe,yes,no,no
METRIC: METamorphic Relation Identification based on the Category-choice framework,2016,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2015.07.037,Exclude,EC1,"While the paper mentions working with ""various application domains and paradigms,"" it is not clear if it specifically addresses interactions between different programming paradigms.",maybe,yes,maybe,no
Towards a software maintenance methodology using Semantic Web techniques and paradigmatic documentation modelling,2008,IET Software,https://doi.org/10.1049/iet-sen:20070092,Exclude,EC1,"While the paper mentions ""language-neutral"" approaches, it does not explicitly address interactions between different programming paradigms. The focus is on software maintenance and metadata rather than paradigm compatibility.",maybe,yes,no,no
Manual Corpus Annotation: Giving Meaning to the Evaluation Metrics,2012,International Conference on Computational Linguistics,-,Exclude,EC2,"The paper appears to be primary research, but it focuses on inter-annotator agreement measures rather than paradigmatic compatibility, and does not align with the core focus of the systematic review.",maybe,yes,no,no
Empirical validation of integrated stock assessment models to ensuring risk equivalence: A pathway to resilient fisheries management,2024,PLoS ONE,https://doi.org/10.1371/journal.pone.0302576,Exclude,EC2,"The paper appears to be primary research, but it focuses on fisheries management models rather than programming paradigms. It does discuss model integration and validation, but not in the context of programming paradigms.",maybe,yes,no,no
"A Metric for User Requirements Traceability in Sequence, Class Diagrams, and Lines-Of-Code via Robustness Diagrams",2013,-,https://doi.org/10.1007/978-4-431-54436-4_4,Exclude,EC1,"The study presents a metric for software design model consistency with strong empirical testing and quantitative components, but its focus on modeling approaches rather than programming paradigms creates uncertainty about direct relevance. While methodological…",maybe,yes,maybe,maybe
Transforming functional models to critical chain models via expert knowledge and automatic parsing rules for design analogy identification,2017,"Artificial intelligence for engineering design, analysis and manufacturing",https://doi.org/10.1017/S0890060417000488,Exclude,EC1,"The study addresses functional modeling paradigms in engineering design, employing systematic validation methods and quantitative metrics, but diverges from the screening criteria's focus on programming paradigm compatibility. While methodologically rigorous w…",maybe,yes,maybe,maybe
Protocols versus objects: can models for telecommunications and distributed processing coexist?,1997,Proceedings of the Sixth IEEE Computer Society Workshop on Future Trends of Distributed Computing Systems,https://doi.org/10.1109/FTDCS.1997.644696,Exclude,EC6,There is no clear indication of quantitative components or measurements in the abstract. The discussion appears to be more conceptual.,maybe,yes,yes,yes
Integration Systems and Interaction Spaces,1996,International Symposium on Frontiers of Combining Systems,https://doi.org/10.1007/978-94-009-0349-4_13,Exclude,EC1,"The abstract describes a theoretical approach to integration systems across computational paradigms, with partial alignment to screening criteria around multiple paradigms and research type. While addressing paradigm integration conceptually, the study lacks c…",maybe,yes,yes,maybe
Characterizing Compatibility of Timed Choreography,2011,International Journal of Web Services Research,https://doi.org/10.4018/jwsr.2011040101,Exclude,EC1,"The study focuses on web services compatibility through a model checking approach, demonstrating quantitative analysis of service interactions. While the research includes systematic validation and quantitative components, it is narrowly centered on service-or…",maybe,yes,maybe,maybe
