Title,Authors,DOI,DOI link,Venue,Citation count,Year,Full-Text Accessibility,"Reasoning for ""Full-Text Accessibility""",Publication Language,"Reasoning for ""Publication Language""",Empirical Evidence,"Reasoning for ""Empirical Evidence""",Multiple Paradigms,"Reasoning for ""Multiple Paradigms""",Paradigmatic Compatibility Focus,"Reasoning for ""Paradigmatic Compatibility Focus""",Quantitative Components,"Reasoning for ""Quantitative Components""",Study Type,"Reasoning for ""Study Type""",Validation Methods,"Reasoning for ""Validation Methods""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score,Reason code,Reason note,ReasonCode,ReasonNote
Using paradigm-relatedness to measure design ideation shifts,"Eli Silk, S. Daly, K. Jablokow, Seda Yilmaz, Amy Rechkemmer, J. Wenger",10.18260/p.27156,https://doi.org/10.18260/p.27156,-,7,2016,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, meeting this criterion.",no,"The study includes empirical data, but not about programming paradigm integration or interoperability.",no,"While the study does address different paradigms, these are design paradigms rather than programming paradigms.",no,"While the study does examine paradigms, it focuses on design paradigms in engineering rather than programming paradigms. The paradigm-relatedness metric is not related to programming paradigm compatibility.",yes,"The study has strong quantitative components, including two versions of a paradigm-relatedness metric and quantitative analysis of ideation shifts.",no,"This is primary research, but it focuses on design ideation and paradigm shifts in engineering design rather than programming paradigms. It does not investigate paradigmatic compatibility in software development.",yes,"The study includes empirical testing with 23 participants and quantitative analysis of ideation shifts, meeting this criterion.",Exclude,"The study focuses on design ideation in engineering, examining paradigm shifts through quantitative metrics, but does not address programming paradigms or software integration. While methodologically rigorous with empirical testing and multiple paradigm-related metrics, the research falls outside the systematic review's scope of programming paradigm compatibility. Consequently, the paper does not meet the core screening criteria for inclusion.",1.4,EC2,"This is primary research, but it focuses on design ideation and paradigm shifts in engineering design rather than programming paradigms. It does not investigate paradigmatic compatibility in software development.",EC2,"This is primary research, but it focuses on design ideation and paradigm shifts in engineering design rather than programming paradigms. It does not investigate paradigmatic compatibility in software development."
Comparing Reuse Mechanisms for Model Transformation Languages: Design for an Empirical Study,"D. Strüber, Anthony Anjorin",-,-,HuFaMo@MoDELS,4,2016,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",yes,"The study design includes systematic empirical evaluation through controlled experiments, which meets the empirical evidence criterion.",maybe,"While the paper compares two different approaches, these are both within the context of model transformation languages rather than different programming paradigms. This criterion is not clearly met.",maybe,"The paper focuses on comparing two different reuse mechanisms (rule refinement and variability-based rules) in model transformation languages. While this involves different approaches, it is not explicitly about paradigmatic compatibility between programming paradigms. It is more about different implementation approaches within a specific domain.",yes,"The study includes quantitative components through controlled experiments and systematic measurements of understandability and changeability, which meets the quantitative components criterion.",maybe,"The paper proposes a study design for a controlled experiment comparing two reuse mechanisms, which is primary research. However, it is not directly focused on paradigmatic compatibility, but rather investigates different approaches to model transformation, which could be considered related to paradigm integration.",yes,"The abstract clearly indicates that the study includes empirical testing through a controlled experiment with specific tasks (comprehension, bug-finding, bug-fixing, and modification tasks), which strongly meets the validation methods criterion.",Exclude,"The study presents a rigorous experimental design comparing reuse mechanisms in model transformation languages, with strong empirical validation methods and quantitative components. While methodologically sound, the research does not directly address paradigmatic compatibility between different programming paradigms, instead focusing on implementation approaches within a specific domain. The paper demonstrates systematic investigation of software engineering techniques but falls short of fully meeting the screening criteria for paradigm integration research.",3.2,EC1,"The study presents a rigorous experimental design comparing reuse mechanisms in model transformation languages, with strong empirical validation methods and quantitative components. While methodologically sound, the research does not directly address paradigma…",EC1,"The study presents a rigorous experimental design comparing reuse mechanisms in model transformation languages, with strong empirical validation methods and quantitative components. While methodologically sound, the research does not directly address paradigma…"
An approach to integration of complex systems: the SAVI virtual integration process,"Donald T. Ward, David A. Redman, B. Lewis",10.1145/2527269.2527275,https://doi.org/10.1145/2527269.2527275,HILT '13,3,2013,maybe,"The technical nature and references to standards suggest the paper is likely an academic publication with accessible full text, though this cannot be determined from the abstract alone.",yes,"The paper is written in English, meeting the language requirement.",maybe,"The abstract suggests systematic observations about integration challenges, particularly in the context of architectural modeling, but it's not clear if there's substantial empirical data collection.",yes,The paper explicitly addresses integration between two different architectural definition languages (SysML and AADL).,maybe,"The paper focuses on formal models and quantitative metrics for integration between different architectural definition languages, which is related to but not directly about programming paradigms.",yes,"The paper clearly includes quantitative components, mentioning ""quantitative evaluation,"" ""quantitative trade studies,"" and systematic analysis methods.",maybe,"The paper appears to be primary research investigating integration approaches and compatibility between different architectural definition languages (SysML and AADL), which is related to but not directly about programming paradigms.",yes,"The paper describes systematic evaluation methods, including ""six types of consistency"" checking and quantitative analysis of system impact, as well as validation through ""Functional Hazard Assessments, Failure Modes and Effects Analyses, and Fault Tree Analyses.""",Exclude,"The study presents a comprehensive approach to system integration, focusing on architectural modeling languages and their compatibility through systematic validation methods and quantitative analysis. While addressing multiple paradigms and including empirical observations, the research primarily explores architectural definition languages rather than direct programming paradigms, creating some uncertainty about its precise alignment with the screening criteria. The work demonstrates strong methodological rigor in integration and compatibility assessment, with multiple validation techniques and quantitative trade studies.",3.5,EC1,"The study presents a comprehensive approach to system integration, focusing on architectural modeling languages and their compatibility through systematic validation methods and quantitative analysis. While addressing multiple paradigms and including empirical…",EC1,"The study presents a comprehensive approach to system integration, focusing on architectural modeling languages and their compatibility through systematic validation methods and quantitative analysis. While addressing multiple paradigms and including empirical…"
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) How to reach a usable DSL ? Moving toward a Systematic Evaluation,"Ankica Barišić, Vasco Amaral, M. Goulão, B. Barroca",-,-,-,26,2012,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but as it appears to be an academic paper, it is likely accessible through standard channels.",yes,"The paper is written in English, which meets the publication language criterion.",no,"While the paper reviews existing literature, it does not appear to present new empirical data about paradigm integration. The focus is on DSL usability evaluation.",no,The paper focuses on DSLs but does not explicitly address interactions between different programming paradigms. This criterion is not met.,no,"The paper focuses on DSL usability and evaluation, not specifically on paradigmatic compatibility or integration between programming paradigms. This is a significant miss for a core criterion.",no,The paper discusses evaluation methods but does not appear to present specific quantitative measurements or metrics related to paradigm compatibility.,yes,"The paper is a systematic literature review, which meets the study type criterion. However, it focuses on DSL usability rather than paradigmatic compatibility specifically.",maybe,"The paper discusses the need for systematic validation and proposes an evaluation process, but does not appear to conduct validation itself. It is more about proposing a methodology.",Exclude,"The systematic review focuses on Domain-Specific Language (DSL) usability evaluation methodology, which diverges significantly from the core screening criteria of paradigmatic compatibility and integration. While meeting basic language and study type requirements, the paper lacks substantive evidence of paradigm interactions, quantitative metrics, or empirical data about programming paradigm compatibility. Consequently, the abstract does not sufficiently address the key screening requirements for inclusion.",2.7,EC1,The paper focuses on DSLs but does not explicitly address interactions between different programming paradigms. This criterion is not met.,EC1,The paper focuses on DSLs but does not explicitly address interactions between different programming paradigms. This criterion is not met.
Should we simulate mental models to assess whether they agree?,"E. Lavin, P. Giabbanelli, Andrew T. Stefanik, Steven A. Gray, R. Arlinghaus",10.22360/springsim.2018.anss.012,https://doi.org/10.22360/springsim.2018.anss.012,Spring Simulation Multiconference,41,2018,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, meeting this criterion.",maybe,"The study includes empirical data (264 participants), but again, not related to programming paradigms.",no,"While the study examines different perspectives, these are not programming paradigms as intended by the screening criteria.",no,"While the study does examine paradigm compatibility, it's in the context of mental models and policy coherence, not programming paradigms. This is a critical mismatch with the screening criteria.",yes,"The study uses quantitative methods (network centrality, simulation outcomes), meeting this criterion.",no,"The paper appears to be primary research, but it focuses on comparing mental models in policy coherence rather than programming paradigms. It does not investigate paradigmatic compatibility in the context of programming.",yes,"The study includes empirical testing with 264 participants and uses network centrality analysis, meeting this criterion.",Exclude,"The study focuses on mental models and policy coherence, fundamentally diverging from the screening criteria's emphasis on programming paradigms. Despite employing rigorous empirical methods and quantitative analysis, the research does not address paradigmatic compatibility in software development or programming contexts. Consequently, the paper fails to meet the core screening requirements for inclusion in the systematic review.",1.4,EC2,"The paper appears to be primary research, but it focuses on comparing mental models in policy coherence rather than programming paradigms. It does not investigate paradigmatic compatibility in the context of programming.",EC2,"The paper appears to be primary research, but it focuses on comparing mental models in policy coherence rather than programming paradigms. It does not investigate paradigmatic compatibility in the context of programming."
Model Driven Conformance Testing for Standardized Services,"Malik Khalfallah, Nicolas Figay, M. Barhamgi, P. Ghodous",10.1109/SCC.2014.60,https://doi.org/10.1109/SCC.2014.60,IEEE International Conference on Services Computing,11,2014,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",maybe,"The paper includes empirical evidence through a case study, but not specifically about paradigm integration challenges.",no,"While the paper considers multiple dimensions, these are not programming paradigms. The focus is on service interface compliance rather than paradigm compatibility.",no,"The paper does not focus on paradigmatic compatibility. Instead, it focuses on compliance testing across multiple dimensions of service interfaces, which are not programming paradigms.",yes,"The paper includes quantitative results and systematic testing, meeting this criterion.",no,"The paper presents primary research developing a formal framework for testing compliance, but it is not specifically focused on paradigmatic compatibility. Instead, it focuses on service interface compliance testing.",yes,The paper includes empirical validation through the implementation of a prototype and testing of the framework on a case study.,Exclude,"The research paper addresses service interface compliance testing across multiple dimensions, but does not focus on paradigmatic compatibility or integration between programming paradigms. While the study includes empirical validation and quantitative components, it fails to meet the core screening criteria related to paradigm interactions and compatibility. The paper's primary focus on service interface testing diverges from the systematic review's specific requirements.",2.7,EC2,"The paper presents primary research developing a formal framework for testing compliance, but it is not specifically focused on paradigmatic compatibility. Instead, it focuses on service interface compliance testing.",EC2,"The paper presents primary research developing a formal framework for testing compliance, but it is not specifically focused on paradigmatic compatibility. Instead, it focuses on service interface compliance testing."
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Semantic Adaptation using CCSL Clock Constraints,"Frédéric Boulanger, Ayman Dogui, Cécile Hardebolle, Christophe Jacquet, Dominique Marcadet, Iuliana Prodan",-,-,-,13,2012,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The abstract does not clearly indicate whether empirical data or systematic observations are included, suggesting the paper may be more theoretical in nature.",yes,"The paper explicitly deals with ""different modeling paradigms"" and their interaction, which meets the multiple paradigms criterion.",yes,"The paper directly addresses paradigmatic compatibility through semantic adaptation between different modeling paradigms, using formal methods (CCSL), which meets the paradigmatic compatibility focus criterion.",maybe,"The paper uses formal methods (CCSL), which implies quantitative components, but the abstract does not explicitly mention measurements or systematic observations.",yes,"The paper appears to be primary research investigating paradigmatic compatibility, specifically focusing on semantic adaptation between different modeling paradigms, which meets the study type criterion.",maybe,"The abstract does not explicitly mention validation methods or empirical testing, so it is unclear whether the study includes such components.",Exclude,"The study addresses paradigmatic compatibility through semantic adaptation between different modeling paradigms, using formal methods like CCSL. While demonstrating strong theoretical foundations in multiple paradigm interactions, the abstract lacks clear evidence of empirical validation or systematic testing. The research appears to focus on formal modeling approaches with potential quantitative components, but definitive empirical confirmation remains uncertain.",3.9,EC1,"The study addresses paradigmatic compatibility through semantic adaptation between different modeling paradigms, using formal methods like CCSL. While demonstrating strong theoretical foundations in multiple paradigm interactions, the abstract lacks clear evid…",EC1,"The study addresses paradigmatic compatibility through semantic adaptation between different modeling paradigms, using formal methods like CCSL. While demonstrating strong theoretical foundations in multiple paradigm interactions, the abstract lacks clear evid…"
Semantic-structural assessment scheme for integrability in service-oriented applications,"A. D. Renzis, Martin Garriga, A. Flores, A. Cechich, Alejandro Zunino",10.1109/CLEI.2014.6965175,https://doi.org/10.1109/CLEI.2014.6965175,Latin American Computing Conference / Conferencia Latinoamericana En Informatica,16,2014,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",yes,"The study includes systematic observations and empirical data from 465 real-life web services, meeting the empirical evidence criterion.",maybe,"The study focuses on Service-Oriented Computing and doesn't explicitly address multiple programming paradigms. While it deals with service integration, it's within a single paradigmatic framework.",maybe,"The study proposes formal models and metrics for compatibility assessment, but focuses specifically on service interface compatibility rather than broader paradigmatic compatibility. The metrics (compatibility gap and adaptability gap) are quantitative but service-specific.",yes,"The study clearly includes quantitative components through its metrics and empirical validation, meeting the quantitative components criterion.",maybe,"The paper presents primary research on service compatibility, but focuses specifically on Service-Oriented Computing rather than general paradigmatic compatibility. While related, it's not directly aligned with the core focus of paradigm integration.",yes,"The study includes empirical testing with ""different experiments with a data-set of 465 real-life Web Services"" and uses ""three metrics from the Information Retrieval field"" for validation, meeting the validation methods criterion.",Exclude,"The study presents a rigorous empirical investigation of service compatibility within Service-Oriented Computing, utilizing quantitative metrics and a substantial dataset of 465 web services. While demonstrating strong methodological rigor through systematic validation and measurement, the research focuses narrowly on service interface compatibility rather than broader paradigmatic integration. The work provides detailed insights into service compatibility assessment but does not comprehensively address multiple programming paradigms.",3.2,EC1,"The study presents a rigorous empirical investigation of service compatibility within Service-Oriented Computing, utilizing quantitative metrics and a substantial dataset of 465 web services. While demonstrating strong methodological rigor through systematic v…",EC1,"The study presents a rigorous empirical investigation of service compatibility within Service-Oriented Computing, utilizing quantitative metrics and a substantial dataset of 465 web services. While demonstrating strong methodological rigor through systematic v…"
SysML model-driven approach to verify blocks compatibility,"Hamida Bouaziz, Samir Chouali, A. Hammad, H. Mountassir",10.1504/IJCAET.2019.10018253,https://doi.org/10.1504/IJCAET.2019.10018253,International Journal of Computer Aided Engineering and Technology,4,2019,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,The abstract doesn't mention any empirical data or observations about integration challenges. It describes a theoretical approach to verification.,no,"While the paper mentions ""heterogeneous components,"" it doesn't specifically address different programming paradigms. The focus is on component compatibility within a SysML framework.",maybe,"The paper focuses on component compatibility verification, but doesn't explicitly address programming paradigms. It deals with SysML diagrams and formal models, which is somewhat adjacent to but not directly focused on paradigmatic compatibility.",maybe,"The paper includes formal models and systematic verification methods, but doesn't explicitly mention quantitative measurements or metrics.",maybe,"The paper presents primary research on compatibility verification between components, which is related to paradigmatic compatibility. However, it focuses more on formal verification than paradigm integration specifically.",yes,"The paper describes a formal verification approach using interface automata and Ptolemy tool, indicating systematic evaluation methods.",Exclude,"The study presents a formal verification approach for component compatibility using SysML diagrams and interface automata, but does not directly address programming paradigm integration. While the research includes systematic verification methods, it lacks explicit empirical evidence, quantitative metrics, and a clear focus on multiple programming paradigms. The paper's primary contribution appears to be a methodological approach to component compatibility verification rather than a comprehensive exploration of paradigmatic compatibility.",2.9,EC1,"While the paper mentions ""heterogeneous components,"" it doesn't specifically address different programming paradigms. The focus is on component compatibility within a SysML framework.",EC1,"While the paper mentions ""heterogeneous components,"" it doesn't specifically address different programming paradigms. The focus is on component compatibility within a SysML framework."
Empirical Measure of Learnability: A Tool for Semantic Map Validation,A. Samsonovich,10.1016/j.procs.2015.12.223,https://doi.org/10.1016/j.procs.2015.12.223,Biologically Inspired Cognitive Architectures,2,2015,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, meeting the language requirement.",no,"While the study includes empirical evidence, it's not related to programming paradigm integration or interoperability.",no,"The study does not address programming paradigms at all, let alone their interactions.",no,"The paper does not address programming paradigms or their compatibility. Instead, it focuses on semantic mapping and human learning of semantic relationships.",maybe,"The study has strong quantitative components (Pearson's correlation, coordinate measurements), but these are not related to programming paradigms.",no,"The paper appears to be primary research, but it focuses on semantic mapping and human learning rather than paradigmatic compatibility or software measurement, which are the core focus of the systematic review.",yes,"The study includes validation through empirical testing with human subjects and uses quantitative measures (Pearson's correlation), meeting the validation methods criterion.",Exclude,"The abstract describes a study on semantic mapping and human learning, which fundamentally diverges from the systematic review's focus on programming paradigm compatibility. Despite demonstrating rigorous methodological approaches with empirical validation and quantitative measures, the research fails to address key screening criteria related to programming paradigms, rendering it unsuitable for inclusion.",1.4,EC2,"The paper appears to be primary research, but it focuses on semantic mapping and human learning rather than paradigmatic compatibility or software measurement, which are the core focus of the systematic review.",EC2,"The paper appears to be primary research, but it focuses on semantic mapping and human learning rather than paradigmatic compatibility or software measurement, which are the core focus of the systematic review."
Combining Topological and Metric: A Natural Integration for Simultaneous Localization and Map Building,"N. Tomatis, I. Nourbakhsh, R. Siegwart",10.3929/ETHZ-A-010107259,https://doi.org/10.3929/ETHZ-A-010107259,-,27,2001,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",yes,"The study includes empirical data from testing in a 50x25m2 environment, multiple types of experiments, and real-world implementation on a robot, which strongly meets the empirical evidence criterion.",yes,"The study explicitly focuses on integrating two paradigms (metric and topological), which meets the multiple paradigms criterion.",yes,"The paper directly addresses the integration between metric and topological paradigms, proposing a formal model for their integration, which meets the paradigmatic compatibility focus criterion.",yes,"The study includes quantitative measurements through laser scanner data, map comparisons, and efficiency evaluations, which meets the quantitative components criterion.",yes,"The paper is primary research investigating the integration between two paradigms (metric and topological), which meets the study type criterion.",yes,"The paper includes three types of experiments for validation, including map quality comparison, test missions for localization efficiency, and loop closure experiments, which strongly meets the validation methods criterion.",Exclude,"The study demonstrates strong methodological rigor through comprehensive empirical validation, quantitative measurements, and systematic integration of metric and topological paradigms in a robotics context. Multiple experimental approaches, including map comparisons, test missions, and loop closure experiments, provide robust evidence of the research's technical depth and paradigmatic integration. While the focus is on mapping techniques rather than programming paradigms, the methodological approach offers valuable insights into systematic paradigm integration.",4.3,EC1,"The study demonstrates strong methodological rigor through comprehensive empirical validation, quantitative measurements, and systematic integration of metric and topological paradigms in a robotics context. Multiple experimental approaches, including map comp…",EC1,"The study demonstrates strong methodological rigor through comprehensive empirical validation, quantitative measurements, and systematic integration of metric and topological paradigms in a robotics context. Multiple experimental approaches, including map comp…"
An overview on protocol adaptors for service component integration,"R. Pérez, H. Eshuis, P. Grefen",-,-,-,25,2008,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The paper is written in English, which meets the publication language criterion.",no,The abstract does not indicate any empirical data or systematic observations. It appears to be more of a theoretical overview.,no,"While the paper discusses different service components and their interactions, it does not explicitly address different programming paradigms. The focus is on service-oriented architecture rather than programming paradigms.",no,"The paper focuses on protocol compatibility between service components, which is related to but not exactly the same as paradigmatic compatibility. It's more about technical interoperability than programming paradigms.",no,The abstract does not provide any clear indication of quantitative components or measurements.,maybe,"The paper appears to be a review or overview of different approaches to service adaptation, which partially meets the study type criterion. However, it's not clear if it's a systematic review or meta-analysis.",no,"The abstract does not explicitly mention any validation methods or empirical testing. It only states that the paper ""presents an overview"" of different approaches.",Exclude,"The abstract describes a study on service-oriented architecture that primarily focuses on technical interoperability rather than programming paradigms, lacking clear empirical validation or quantitative analysis. While addressing compatibility challenges, the paper does not meet several key screening criteria related to paradigmatic integration, empirical evidence, and systematic evaluation of programming paradigms.",2.7,EC1,"While the paper discusses different service components and their interactions, it does not explicitly address different programming paradigms. The focus is on service-oriented architecture rather than programming paradigms.",EC1,"While the paper discusses different service components and their interactions, it does not explicitly address different programming paradigms. The focus is on service-oriented architecture rather than programming paradigms."
NAOMI - An Experimental Platform for Multi-modeling,"T. Denton, E. Jones, Srini Srinivasan, Ken Owens, R. Buskens",10.1007/978-3-540-87875-9_10,https://doi.org/10.1007/978-3-540-87875-9_10,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,37,2008,maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,yes,"The abstract is written in English, which meets the criterion for publication language. However, the full paper's language cannot be determined from the abstract alone.",maybe,"While the paper presents a platform for integration, the abstract does not explicitly mention empirical data or systematic observations about integration challenges. However, the platform itself could provide such evidence in the full paper.",yes,"The paper clearly addresses multiple paradigms, specifically focusing on combining different DSMLs and ""diverse modeling paradigms,"" strongly meeting this criterion.",yes,"The paper directly addresses paradigmatic compatibility by focusing on integrating multiple DSMLs and different modeling paradigms, strongly meeting this criterion.",maybe,"The abstract suggests systematic analysis of model dependencies and change propagation, but does not explicitly mention quantitative measurements or metrics.",yes,"The paper presents NAOMI, an experimental platform for model integration, which appears to be primary research investigating paradigmatic compatibility, meeting the study type criterion.",maybe,"The abstract mentions that NAOMI ""analyzes model dependencies"" and ""coordinates the propagation of necessary model changes,"" suggesting some form of validation, but the details of the validation methods or empirical testing are not explicitly stated.",Exclude,"The study presents an experimental platform for integrating multiple domain-specific modeling languages, demonstrating strong potential for addressing paradigmatic compatibility across different modeling paradigms. While the abstract suggests systematic analysis of model dependencies and change propagation, there are uncertainties regarding the depth of empirical validation and quantitative measurement components. The research appears to offer a promising approach to understanding and managing interactions between diverse modeling paradigms.",4.3,EC1,"The study presents an experimental platform for integrating multiple domain-specific modeling languages, demonstrating strong potential for addressing paradigmatic compatibility across different modeling paradigms. While the abstract suggests systematic analys…",EC1,"The study presents an experimental platform for integrating multiple domain-specific modeling languages, demonstrating strong potential for addressing paradigmatic compatibility across different modeling paradigms. While the abstract suggests systematic analys…"
"Modélisation des processus ""métier"" mis en oeuvre dans une approche EAI en vue de leur pilotage : le pilotage des applications intégrées",Lionel Blanc dit Jolicoeur,-,-,-,5,2004,maybe,"The abstract does not provide enough information to determine if the full text is accessible, though I notes that being a thesis suggests it might be available through academic channels.",yes,"The paper is written in French, which meets the criterion for publication language.",maybe,The abstract does not clearly indicate whether empirical data or systematic observations were collected.,yes,"The paper explicitly addresses integration between different viewpoints and heterogeneous applications, including business and data perspectives.",yes,"The paper focuses on formal models for integrating heterogeneous applications and different viewpoints (""metier"" and ""donnee""), which relates to paradigmatic compatibility.",maybe,"While the paper discusses formal modeling and architectural frameworks, it is not clear if it includes quantitative measurements or metrics.",yes,"The paper appears to be primary research investigating modeling frameworks for integrating heterogeneous applications, which relates to paradigmatic compatibility.",maybe,"The abstract does not explicitly mention validation methods or empirical testing, and I notes that it describes a theoretical framework but does not discuss how it was validated.",Exclude,"A French-language thesis exploring formal modeling frameworks for integrating heterogeneous applications across different business and data perspectives. The study demonstrates strong potential in addressing paradigmatic compatibility through architectural and process-oriented approaches, though empirical validation and quantitative measurement details remain unclear from the abstract. Multiple paradigm interactions are explicitly addressed, suggesting a comprehensive approach to system integration challenges.",3.5,EC1,A French-language thesis exploring formal modeling frameworks for integrating heterogeneous applications across different business and data perspectives. The study demonstrates strong potential in addressing paradigmatic compatibility through architectural and…,EC1,A French-language thesis exploring formal modeling frameworks for integrating heterogeneous applications across different business and data perspectives. The study demonstrates strong potential in addressing paradigmatic compatibility through architectural and…
Quantitative analysis of scrolling techniques,"K. Hinckley, Edward Cutrell, Steven Bathiche, Tim Muss",10.1145/503376.503389,https://doi.org/10.1145/503376.503389,International Conference on Human Factors in Computing Systems,167,2002,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,"While the study includes empirical evidence, it is about scrolling interaction techniques, not about programming paradigm integration or compatibility.",no,The study does not address multiple programming paradigms. It compares different scrolling techniques (IBM ScrollPoint and IntelliMouse Wheel) but these are not programming paradigms.,no,"The study does not address paradigmatic compatibility or integration between programming paradigms. Instead, it focuses on human-computer interaction and scrolling techniques.",maybe,"The study has strong quantitative components, including experimental measurements and Fitts' Law modeling, but these are not related to programming paradigms.",no,"The study is primary research, but it focuses on evaluating scrolling interaction techniques rather than investigating paradigmatic compatibility or programming paradigms.",maybe,"The study includes strong validation methods through formal experimental design and empirical testing, but these are not related to paradigmatic compatibility.",Exclude,"The abstract describes a study on scrolling interaction techniques that does not address programming paradigms or their compatibility. Despite being a rigorous experimental study with quantitative methods, it fails to meet key screening criteria related to paradigmatic integration, empirical evidence about programming paradigms, and multiple paradigm interactions. Consequently, the paper does not align with the systematic review's core focus on paradigmatic compatibility.",1.4,EC2,"The study is primary research, but it focuses on evaluating scrolling interaction techniques rather than investigating paradigmatic compatibility or programming paradigms.",EC2,"The study is primary research, but it focuses on evaluating scrolling interaction techniques rather than investigating paradigmatic compatibility or programming paradigms."
Goal-Driven Definition of Product Metrics Based on Properties,"L. Briand, S. Morasca, V. Basili",-,-,-,21,1995,maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",yes,"The paper is written in English, which meets the publication language criterion.",no,"While the paper mentions experimental goals, it does not appear to present specific empirical data about paradigm integration. The focus is on metric definition methodology.",no,The paper does not address interactions between different programming paradigms. It focuses on software metrics definition methodology.,no,The paper does not address paradigmatic compatibility or integration between programming paradigms. It focuses on software product metrics in general.,maybe,"The paper does include quantitative components through its focus on mathematical properties of metrics, but not in relation to paradigm compatibility.",no,"The paper appears to be primary research proposing a methodology for defining product metrics, but it does not specifically focus on paradigmatic compatibility or integration.",maybe,"The abstract mentions ""experimental goals"" and ""mathematical properties"" but does not explicitly describe validation methods or empirical testing. The paper appears to be more theoretical in nature.",Exclude,"The abstract describes a methodology for software product metrics that does not address paradigmatic compatibility or integration between programming paradigms. While the paper presents a rigorous approach to metric definition, it fails to meet key screening criteria related to paradigm interactions, empirical evidence of paradigm integration, and quantitative analysis of multiple programming paradigms. Consequently, the paper does not align with the systematic review's specific research focus.",2.5,EC2,"The paper appears to be primary research proposing a methodology for defining product metrics, but it does not specifically focus on paradigmatic compatibility or integration.",EC2,"The paper appears to be primary research proposing a methodology for defining product metrics, but it does not specifically focus on paradigmatic compatibility or integration."
Complexity Theory: A New Paradigm for Software Integration,G. Hurlburt,10.1109/MITP.2012.87,https://doi.org/10.1109/MITP.2012.87,IT Professional,5,2013,maybe,The full-text accessibility cannot be determined from the abstract alone.,yes,"The abstract is written in English, so this criterion is met.",no,The abstract does not provide any clear indication of empirical data or systematic observations.,no,The abstract does not specifically address interactions between different programming paradigms.,no,The abstract does not explicitly mention paradigmatic compatibility or integration between programming paradigms. It focuses on software integration testing in general.,no,"While complexity theory is mentioned, there is no clear indication of quantitative measurements or systematic observations.",maybe,"The abstract suggests this is about software integration testing and complexity theory, but it's unclear if it's primary research or a systematic review. There is significant uncertainty about the study type.",no,The abstract does not mention any specific validation methods or empirical testing. It only discusses theoretical opportunities.,Exclude,"The abstract lacks explicit focus on paradigmatic compatibility, empirical validation, and quantitative methods related to programming paradigm integration. Critical screening criteria remain unaddressed, with no clear evidence of systematic research on paradigm interactions or measurement techniques. Consequently, the text appears insufficiently aligned with the specified research requirements.",1.4,EC1,The abstract does not specifically address interactions between different programming paradigms.,EC1,The abstract does not specifically address interactions between different programming paradigms.
