Title,Authors,DOI,DOI link,Venue,Citation count,Year
Sloboda & Parker's recall paradigm for melodic memory: a new computational perspective,"Geraint A. Wiggins, Daniel Müllensiefen",10.1093/acprof:osobl/9780199581566.003.0009,https://doi.org/10.1093/acprof:osobl/9780199581566.003.0009,-,10,2011
"Translating experimental paradigms into individual-differences research: Contributions, challenges, and practical recommendations","Stephanie C. Goodhew, Mark Edwards",10.1016/j.concog.2019.01.008,https://doi.org/10.1016/j.concog.2019.01.008,Consciousness and Cognition,95,2019
A Multi-Paradigm Modelling Approach for the Engineering of Modelling Languages,B. Meyers,-,-,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,4,2014
Reasoning and modeling paradigms are incompatible,P. Wegner,10.1109/HICSS.1993.284118,https://doi.org/10.1109/HICSS.1993.284118,[1993] Proceedings of the Twenty-sixth Hawaii International Conference on System Sciences,1,1993
Using paradigm-relatedness to measure design ideation shifts,"Eli Silk, S. Daly, K. Jablokow, Seda Yilmaz, Amy Rechkemmer, J. Wenger",10.18260/p.27156,https://doi.org/10.18260/p.27156,-,7,2016
Comparing Reuse Mechanisms for Model Transformation Languages: Design for an Empirical Study,"D. Strüber, Anthony Anjorin",-,-,HuFaMo@MoDELS,4,2016
An approach to integration of complex systems: the SAVI virtual integration process,"Donald T. Ward, David A. Redman, B. Lewis",10.1145/2527269.2527275,https://doi.org/10.1145/2527269.2527275,HILT '13,3,2013
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) How to reach a usable DSL ? Moving toward a Systematic Evaluation,"Ankica Barišić, Vasco Amaral, M. Goulão, B. Barroca",-,-,-,26,2012
Shared and separate meanings in the bilingual mental lexicon,"Yanping Dong, Shichun Gui, B. MacWhinney",10.1017/S1366728905002270,https://doi.org/10.1017/S1366728905002270,Bilingualism: Language and Cognition,148,2005
Should we simulate mental models to assess whether they agree?,"E. Lavin, P. Giabbanelli, Andrew T. Stefanik, Steven A. Gray, R. Arlinghaus",10.22360/springsim.2018.anss.012,https://doi.org/10.22360/springsim.2018.anss.012,Spring Simulation Multiconference,41,2018
Model Driven Conformance Testing for Standardized Services,"Malik Khalfallah, Nicolas Figay, M. Barhamgi, P. Ghodous",10.1109/SCC.2014.60,https://doi.org/10.1109/SCC.2014.60,IEEE International Conference on Services Computing,11,2014
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Semantic Adaptation using CCSL Clock Constraints,"Frédéric Boulanger, Ayman Dogui, Cécile Hardebolle, Christophe Jacquet, Dominique Marcadet, Iuliana Prodan",-,-,-,13,2012
Semantic-structural assessment scheme for integrability in service-oriented applications,"A. D. Renzis, Martin Garriga, A. Flores, A. Cechich, Alejandro Zunino",10.1109/CLEI.2014.6965175,https://doi.org/10.1109/CLEI.2014.6965175,Latin American Computing Conference / Conferencia Latinoamericana En Informatica,16,2014
SysML model-driven approach to verify blocks compatibility,"Hamida Bouaziz, Samir Chouali, A. Hammad, H. Mountassir",10.1504/IJCAET.2019.10018253,https://doi.org/10.1504/IJCAET.2019.10018253,International Journal of Computer Aided Engineering and Technology,4,2019
A Drift Diffusion Model Account of the Semantic Congruity Effect in a Classification Paradigm,"Angelo Pirrone, James A. R. Marshall, T. Stafford",10.5964/jnc.v3i1.79,https://doi.org/10.5964/jnc.v3i1.79,Journal of Numerical Cognition,2,2017
Empirical Measure of Learnability: A Tool for Semantic Map Validation,A. Samsonovich,10.1016/j.procs.2015.12.223,https://doi.org/10.1016/j.procs.2015.12.223,Biologically Inspired Cognitive Architectures,2,2015
Combining Topological and Metric: A Natural Integration for Simultaneous Localization and Map Building,"N. Tomatis, I. Nourbakhsh, R. Siegwart",10.3929/ETHZ-A-010107259,https://doi.org/10.3929/ETHZ-A-010107259,-,27,2001
An overview on protocol adaptors for service component integration,"R. Pérez, H. Eshuis, P. Grefen",-,-,-,25,2008
Exploring the Link Between Inquiry Paradigm and the Process of Collaboration,E. Creamer,10.1353/RHE.2003.0012,https://doi.org/10.1353/RHE.2003.0012,-,30,2003
NAOMI - An Experimental Platform for Multi-modeling,"T. Denton, E. Jones, Srini Srinivasan, Ken Owens, R. Buskens",10.1007/978-3-540-87875-9_10,https://doi.org/10.1007/978-3-540-87875-9_10,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,37,2008
"Modélisation des processus ""métier"" mis en oeuvre dans une approche EAI en vue de leur pilotage : le pilotage des applications intégrées",Lionel Blanc dit Jolicoeur,-,-,-,5,2004
Quantitative analysis of scrolling techniques,"K. Hinckley, Edward Cutrell, Steven Bathiche, Tim Muss",10.1145/503376.503389,https://doi.org/10.1145/503376.503389,International Conference on Human Factors in Computing Systems,167,2002
Goal-Driven Definition of Product Metrics Based on Properties,"L. Briand, S. Morasca, V. Basili",-,-,-,21,1995
Proposition d'une métrique de la qualité de l'audit : expérimentation dans le cadre des relations d'agence internes,Makram Chemangui,10.3917/CCA.151.0225,https://doi.org/10.3917/CCA.151.0225,-,8,2009
Complexity Theory: A New Paradigm for Software Integration,G. Hurlburt,10.1109/MITP.2012.87,https://doi.org/10.1109/MITP.2012.87,IT Professional,5,2013
Breaking incommensurability boundaries? On the production and publication of interparadigmatic research,"Y. Gendron, Luc Paugam, Hervé Stolowy",10.1108/qram-09-2022-0147,https://doi.org/10.1108/qram-09-2022-0147,Qualitative Research in Accounting &amp; Management,4,2023
"Software paradigms, assessment types and non-functional requirements in model-based integration testing: a systematic literature review","Florian Häser, M. Felderer, R. Breu",10.1145/2601248.2601257,https://doi.org/10.1145/2601248.2601257,International Conference on Evaluation & Assessment in Software Engineering,26,2014
Composition de modèles pour la modélisation multi-paradigme du comportement des systèmes. (Composition of models for the multi-paradigm modeling of the behavior of systems),Cécile Hardebolle,-,-,-,9,2008
"Composability, compatibility, compositionality: automatic preservation of timed properties during incremental development","J. Julliand, H. Mountassir, Emilie Oudot",-,-,-,10,2007
Paradigmatic complexity metrics as signals of phylogenetic relatedness,"Borja Herce, B. Bickel",10.1075/dia.23004.her,https://doi.org/10.1075/dia.23004.her,Diachronica,0,2025
Constructing hybrid software process simulation models,"Chao Gao, He Zhang, Shu Jiang",10.1145/2785592.2785610,https://doi.org/10.1145/2785592.2785610,International Conference on Software and Systems Process,14,2015
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Model Based Engineering for the support of Models of Computation : The Cometa Approach,"Papa Issa Diallo, J. Champeau, Vincent Leildé",-,-,-,7,2013
Contributions aux approches formelles de développement de logiciels : Intégration de méthodes formelles et analyse multifacette. (Contribution to formal approaches of software engineering: formal method integration and multi-faceted analysis),J. Attiogbé,-,-,-,3,2007
Symbolic estrangement or symbolic integration of numerals with quantities: Methodological pitfalls and a possible solution,"M. Marinova, Delphine Sasanguie, B. Reynvoet",10.1371/journal.pone.0200808,https://doi.org/10.1371/journal.pone.0200808,PLoS ONE,13,2018
A comparative study of model transformation approaches through a systematic procedural framework and goal question metrics paradigm,S. Rahimi,-,-,-,9,2013
"Synergizing Positivistic and Aesthetic Approaches to Improve the Development of Interactive, Visual Systems Design","Michael Gibson, D. Peak, V. Prybutok",10.21606/drs.2008.46,https://doi.org/10.21606/drs.2008.46,Proceedings of DRS,9,2010
A Manageable Model for Experimental Research Data: An Empirical Study in the Materials Sciences,"Susanne Putze, R. Porzel, Gian-Luca Savino, R. Malaka",10.1007/978-3-319-91563-0_26,https://doi.org/10.1007/978-3-319-91563-0_26,International Conference on Advanced Information Systems Engineering,5,2018
Assessing and improving the quality of model transformations,V. Amstel,10.6100/IR719526,https://doi.org/10.6100/IR719526,-,59,2012
International Mergers and Acquisitions: A Test of New Integration Approach Paradigm,"Yaakov Weber, S. Tarba, Guenter K. Stahl, Ziva Rozen Bachar",10.5465/AMBPP.2012.17474ABSTRACT,https://doi.org/10.5465/AMBPP.2012.17474ABSTRACT,-,9,2012
Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) A practical approach to multi-modeling views composition,"Andrés Yie, R. Casallas, D. Deridder, Dennis Wagelaar",-,-,-,9,2009
Integration of declarative paradigms: benefits and challenges,M. Hanus,10.1145/242224.242434,https://doi.org/10.1145/242224.242434,CSUR,1,1996
A New Experimental Paradigm For The Assessment Of User Behavior In Multimodal Interaction,"N. Bubalo, Felix Schüssel, F. Honold, M. Weber, A. Huckauf",-,-,International Symposium on Consumer Technologies,0,2015
Validating expert systems,"T. O'Leary, M. Goul, Kathleen E. Moffitt, A. Radwan",10.1109/64.54673,https://doi.org/10.1109/64.54673,IEEE Expert,114,1990
"A connectionist and a traditional AI quantizer, symbolic versus sub-symbolic models of rhythm perception",P. Desain,10.1080/07494469300640471,https://doi.org/10.1080/07494469300640471,-,19,1993
Macrocognitive Measures for Evaluating Cognitive Work,G. Klein,10.1201/9781315593173-6,https://doi.org/10.1201/9781315593173-6,Macrocognition Metrics and Scenarios,8,2018
Conceptual Modelling of Life Cycle Design: a Modelling and Evaluation Method Based on Analogies and Dimensionless Numbers,E. Coatanéa,-,-,-,38,2005
Towards an approach of formal verification of mediation protocol based on web services,"Mohamed Graiet, Raoudha Maraoui, Mourad Kmimech, Mohamed Tahar Bhiri, Walid Gaaloul",10.1145/1967486.1967502,https://doi.org/10.1145/1967486.1967502,International Conference on Information Integration and Web-based Applications & Services,16,2010
Vers l'intégration des métarôles pour la recherche d'information collaborative,"Laure Soulier, Lynda Tamine",10.3166/dn.18.2-3.9-38,https://doi.org/10.3166/dn.18.2-3.9-38,Document Numérique,2,2015
Parametric Performance Analysis and Energy Model Calibration Workflow Integration—A Scalable Approach for Buildings,"M. Manfren, Benedetto Nastasi",10.3390/en13030621,https://doi.org/10.3390/en13030621,Energies,28,2020
Validation of Workload Algorithms Within the Integrated Performance Modeling Environment,"Mr. Joe Armstrong, M. Gauthier",-,-,-,5,2007
Increasing the reliability of energy system scenarios with integrated modelling: a review,"T. Niet, N. Arianpoo, Kamaria Kuling, A. Wright",10.1088/1748-9326/ac5cf5,https://doi.org/10.1088/1748-9326/ac5cf5,Environmental Research Letters,12,2022
Second International Workshop on Multi-Paradigm Modeling: Concepts and Tools,"J. Lara, T. Levendovszky, P. Mosterman, H. Vangheluwe",10.1007/978-3-540-69073-3_25,https://doi.org/10.1007/978-3-540-69073-3_25,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,5,2008
Multi-paradigm modelling for cyber–physical systems: a descriptive framework,"Moussa Amrani, Dominique Blouin, Reinhart Heinrich, A. Rensink, H. Vangheluwe, A. Wortmann",10.1007/s10270-021-00876-z,https://doi.org/10.1007/s10270-021-00876-z,Journal of Software and Systems Modeling,25,2021
Interfaces and binding in component based development of formal models,"G. Franceschinis, M. Gribaudo, M. Iacono, S. Marrone, Francesco Moscato, V. Vittorini",10.4108/ICST.VALUETOOLS2009.7677,https://doi.org/10.4108/ICST.VALUETOOLS2009.7677,ValueTools,31,2009
Integration of the pathogenic exposure paradigm and the hierarchical immune system framework,J. Brownlee,-,-,-,3,2007
Automated measurement of models of requirements,"Monperrus Martin, B. Baudry, J. Champeau, B. Hoeltzener, J. Jézéquel",10.1007/s11219-011-9163-6,https://doi.org/10.1007/s11219-011-9163-6,Software quality journal,9,2011
Configuration management for models : generic methods for model comparison and model co-evolution,Z. Protic,10.6100/IR716407,https://doi.org/10.6100/IR716407,-,54,2011
Integrating Information Systems,"Valerie A. Martin, M. Lycett, R. Macredie",10.1007/978-0-387-35611-2_7,https://doi.org/10.1007/978-0-387-35611-2_7,Organizational Semiotics,9,2001
Evaluation of Software Product Quality Metrics,"A. Molnar, Alexandra Neamţu, S. Motogna",10.1007/978-3-030-40223-5_8,https://doi.org/10.1007/978-3-030-40223-5_8,International Conference on Evaluation of Novel Approaches to Software Engineering,8,2020
A Graph-Based Framework for Multiparadigmatic Visual Access to Databases,"T. Catarci, Shi-Kuo Chang, M. Costabile, S. Levialdi, G. Santucci",10.1109/69.506712,https://doi.org/10.1109/69.506712,IEEE Transactions on Knowledge and Data Engineering,62,1996
The Relationship Between Syntactic and Semantic Processes in Sentence Comprehension.,Julie E. Boland,10.1080/016909697386808,https://doi.org/10.1080/016909697386808,-,101,1997
A framework for understanding the integration of design methodologies,Xiping Song,10.1145/225907.225913,https://doi.org/10.1145/225907.225913,SOEN,21,1995
Integration of maintenance in the enterprise: Towards an enterprise modelling-based framework compliant with proactive maintenance strategy,"J. Léger, G. Morel",10.1080/09537280150501275,https://doi.org/10.1080/09537280150501275,-,62,2001
Formalisation of Mediation Protocol for Web Services Composition with ACME/ARMANI ADL,"Raoudha Maraoui, Mohamed Graiet, Mourad Kmimech, Mohamed Tahar Bhiri, B. Ayeb",-,-,-,3,2010
On marrying ontological and metamodeling technical spaces,"Fernando Silva Parreiras, Steffen Staab, A. Winter",10.1145/1295014.1295017,https://doi.org/10.1145/1295014.1295017,ESEC-FSE companion '07,61,2007
Electronic Communications of the EASST Volume 50 ( 2011 ) Recent Advances in Multi-paradigm Modeling ( MPM 2011 ) Reusing Model Transformations across Heterogeneous Metamodels,"M. Wimmer, A. Kusel, W. Retschitzegger, J. Schönböck, W. Schwinger, J. Cuadrado, E. Guerra, J. Lara",-,-,-,20,2012
Does Free-sorting Provide a Good Estimate of Visual Similarity,"A. Clarke, Xinghui Dong, M. Chantler",10.5072/ZENODO.74735,https://doi.org/10.5072/ZENODO.74735,-,17,2012
The New Paradigm and Mental Models,"Jean Baratgin, I. Douven, Jonathan Evans, M. Oaksford, G. Politzer",10.1016/j.tics.2015.06.013,https://doi.org/10.1016/j.tics.2015.06.013,Trends in Cognitive Sciences,43,2015
Automatic Generation of Trace Links in Model-driven Software Development,Birgit Grammel,-,-,-,4,2013
Ugatze : métamodélisation pour la réutilisation de composants hétérogènes distribués,F. Séller,-,-,-,5,2004
Practical Automated Partial Verification of Multi-paradigm Real-Time Models,"Carlo A. Furia, Matteo Pradella, M. Rossi",10.1007/978-3-540-88194-0_19,https://doi.org/10.1007/978-3-540-88194-0_19,IEEE International Conference on Formal Engineering Methods,3,2008
A measure for module cohesion,Jagadeesh Nandigam,-,-,-,11,1995
Enterprise Inter- and Intra-Organizational Integration: Building International Consensus,"K. Kosanke, Roland Jochem, J. G. Nell, Á. O. Bas",-,-,-,7,2013
Multi-Paradigm Process Management,"M. Muehlen, M. Rosemann",-,-,CAiSE Workshops,44,2004
Functional Programming Paradigm of Python for Scientific Computation Pipeline Integration,"Chen Zhang, L. Jia, Wei Zhang, Ning Wen",10.48550/arXiv.2405.16956,https://doi.org/10.48550/arXiv.2405.16956,arXiv.org,0,2024
"A global, boundary-centric framework for unit selection text-to-speech synthesis",J. Bellegarda,10.1109/TSA.2005.858048,https://doi.org/10.1109/TSA.2005.858048,"IEEE Transactions on Audio, Speech, and Language Processing",23,2006
Assessing continuity and compatibility in augmented reality systems,"E. Dubois, L. Nigay, J. Troccaz",10.1007/s10209-002-0024-8,https://doi.org/10.1007/s10209-002-0024-8,Universal Access in the Information Society,37,2002
METRIC: METamorphic Relation Identification based on the Category-choice framework,"T. Chen, P. Poon, Xiaoyuan Xie",10.1016/j.jss.2015.07.037,https://doi.org/10.1016/j.jss.2015.07.037,Journal of Systems and Software,69,2016
Towards a software maintenance methodology using Semantic Web techniques and paradigmatic documentation modelling,"David Hyland-Wood, David Carrington, S. Kaplan",10.1049/iet-sen:20070092,https://doi.org/10.1049/iet-sen:20070092,IET Software,9,2008
Manual Corpus Annotation: Giving Meaning to the Evaluation Metrics,"Yann Mathet, Antoine Widlöcher, Karën Fort, Claire François, Olivier Galibert, Cyril Grouin, Juliette Kahn, S. Rosset, Pierre Zweigenbaum",-,-,International Conference on Computational Linguistics,26,2012
Empirical validation of integrated stock assessment models to ensuring risk equivalence: A pathway to resilient fisheries management,"Laurence T Kell, I. Mosqueira, Henning Winker, Rishi Sharma, T. Kitakado, Massimiliano Cardinale",10.1371/journal.pone.0302576,https://doi.org/10.1371/journal.pone.0302576,PLoS ONE,1,2024
