Title,Authors,DOI,DOI link,Venue,Citation count,Year
Inter-operability and reusability: the science of annotation,"Manfred Stede, Chu-Ren Huang",10.1007/s10579-011-9164-x,https://doi.org/10.1007/s10579-011-9164-x,Language Resources and Evaluation,13,2011
Development of an interoperable tool to facilitate spatial data integration in the context of SDI,"H. Mohammadi, A. Rajabifard, I. Williamson",10.1080/13658810902881903,https://doi.org/10.1080/13658810902881903,International Journal of Geographical Information Science,49,2010
Multi-view approaches for software and system modelling: a systematic literature review,"A. Cicchetti, Federico Ciccozzi, A. Pierantonio",10.1007/s10270-018-00713-w,https://doi.org/10.1007/s10270-018-00713-w,Journal of Software and Systems Modeling,5,2019
TAC2011 MultiLing Pilot Overview,"George Giannakopoulos, Mahmoud El-Haj, Benoit Favre, Marina Litvak, J. Steinberger, Vasudeva Varma",-,-,Text Analysis Conference,69,2011
Developing intercultural competence in adult language learning through the multiliteracies approach: A systematic review,"Antonio Fernández-García, Carmen Sánchez-Vizcaíno",10.3828/ejlp.2023.11,https://doi.org/10.3828/ejlp.2023.11,European Journal of Language Policy,1,2023
Assessing interoperability requirements in networked enterprises: A model-based system engineering approach,"Gabriel S. S. Leal, W. Guédria, H. Panetto",10.1002/INST.12174,https://doi.org/10.1002/INST.12174,-,5,2017
Towards Ensuring Software Interoperability Between Deep Learning Frameworks,"Youn Kyu Lee, Seong-Hee Park, Min Young Lim, Soo-Hyun Lee, Jong-Myoung Jeong",10.2478/jaiscr-2023-0016,https://doi.org/10.2478/jaiscr-2023-0016,Journal of Artificial Intelligence and Soft Computing Research,0,2023
Managing Interoperability and Complexity in Health Systems,"M. Bouamrane, C. Tao, I. N. Sarkar",10.3414/ME15-10-0001,https://doi.org/10.3414/ME15-10-0001,Methods of Information in Medicine,28,2015
Novel strategies for global manufacturing systems interoperability,"R. Jardim-Gonçalves, A. Grilo, K. Popplewell",10.1007/s10845-014-0948-x,https://doi.org/10.1007/s10845-014-0948-x,Journal of Intelligent Manufacturing,70,2014
Semantic Web meets Integrative Biology: a survey,"Huajun Chen, Tong Yu, J. Chen",10.1093/bib/bbs014,https://doi.org/10.1093/bib/bbs014,Briefings Bioinform.,67,2013
Is Fragmentation a Threat to the Success of the Internet of Things?,"M. Aly, Foutse Khomh, Yann-Gaël Guéhéneuc, H. Washizaki, S. Yacout",10.1109/JIOT.2018.2863180,https://doi.org/10.1109/JIOT.2018.2863180,IEEE Internet of Things Journal,39,2018
The state of adoption and the challenges of systematic variability management in industry,"T. Berger, J. Steghöfer, T. Ziadi, J. Robin, Jabier Martinez",10.1007/s10664-019-09787-6,https://doi.org/10.1007/s10664-019-09787-6,Empirical Software Engineering,77,2020
Classifying Interoperability Problems in Cyber-Physical Systems: Empirical Cases From OpenWrt,"Joana L. F. P. Cardoso, Paul T. Grogan, Michael J. Pennock",10.1109/JSYST.2024.3426541,https://doi.org/10.1109/JSYST.2024.3426541,IEEE Systems Journal,0,2024
Comparing four approaches for technical debt identification,"N. Zazworka, A. Vetrò, C. Izurieta, Sunny Wong, Yuanfang Cai, C. Seaman, F. Shull",10.1007/s11219-013-9200-8,https://doi.org/10.1007/s11219-013-9200-8,Software quality journal,128,2013
Evaluating Multilingual Questionnaires: A Sociolinguistic Perspective,"Yuling Pan, Marissa Fond",10.18148/SRM/2014.V8I3.5483,https://doi.org/10.18148/SRM/2014.V8I3.5483,-,34,2014
A study of semantic integration across archaeological data and reports in different languages,"C. Binding, D. Tudhope, A. Vlachidis",10.1177/0165551518789874,https://doi.org/10.1177/0165551518789874,Journal of information science,21,2018
Technology-Powered Multilingual Professional and Technical Writing: An Integrative Literature Review of Landmark and the Latest Writing Assistance Tools,Lucía Sanz-Valdivieso,10.1109/TPC.2024.3419288,https://doi.org/10.1109/TPC.2024.3419288,IEEE Transactions on Professional Communication,1,2024
Translation strategies of Koha for multilingual interface management,"S. Saha, S. Mandal",10.1108/lhtn-01-2022-0015,https://doi.org/10.1108/lhtn-01-2022-0015,Library Hi Tech News,1,2022
Earth Science Infrastructures Interoperability: The Brokering Approach,"S. Nativi, M. Craglia, J. Pearlman",10.1109/JSTARS.2013.2243113,https://doi.org/10.1109/JSTARS.2013.2243113,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,92,2013
Semantic interoperability in health records standards: a systematic literature review,"Blanda Helena de Mello, S. Rigo, C. A. da Costa, Rodrigo da Rosa Righi, B. Donida, M. Bez, Luana Carina Schunke",10.1007/s12553-022-00639-w,https://doi.org/10.1007/s12553-022-00639-w,Health technology,103,2022
Managing cultural and linguistic diversity in multiple organisational settings: editorial,"Jan D. ten Thije, R. Maier",10.1080/01434632.2012.713960,https://doi.org/10.1080/01434632.2012.713960,-,7,2012
Building the Bridge: Topic Modeling for Comparative Research,"F. Lind, Jakob-Moritz Eberl, Olga Eisele, Tobias Heidenreich, Sebastian Galyga, H. Boomgaarden",10.1080/19312458.2021.1965973,https://doi.org/10.1080/19312458.2021.1965973,Communication Methods and Measures,27,2021
Technological e-Government Interoperability. An Analysis of IberoAmerican Countries,"C. Jimenez, J. I. Criado, M. Gascó",10.1109/TLA.2011.6129711,https://doi.org/10.1109/TLA.2011.6129711,IEEE Latin America Transactions,15,2011
TExSIS: Bilingual terminology extraction from parallel corpora using chunk-based alignment.,"Lieve Macken, Els Lefever, Veronique Hoste",10.1075/TERM.19.1.01MAC,https://doi.org/10.1075/TERM.19.1.01MAC,-,71,2013
Integrating conceptual and logical couplings for change impact analysis in software,"Huzefa H. Kagdi, Malcom Gethers, D. Poshyvanyk",10.1007/s10664-012-9233-9,https://doi.org/10.1007/s10664-012-9233-9,Empirical Software Engineering,82,2012
Introduction to Interoperability for Heterogeneous IoT Platforms,"C. Palau, G. Fortino, M. Montesinos, Pablo Giménez, G. Markarian, V. Castay, F. Fuart, W. Pawłowski, Marina Mortara, A. Bassi, Frans Gevers, G. Ibáñez-Sánchez, Ignacio Huet, G. Exarchakos",10.1007/978-3-030-82446-4_1,https://doi.org/10.1007/978-3-030-82446-4_1,Internet of Things,2,2021
Assessing the impact of real-time machine translation on multilingual meetings in global software projects,"Fabio Calefato, F. Lanubile, T. Conte, R. Prikladnicki",10.1007/s10664-015-9372-x,https://doi.org/10.1007/s10664-015-9372-x,Empirical Software Engineering,14,2015
Setting Foundations: An Integrative Literature Review at the Intersections of Technical and Professional Communication and Translation Studies,"Ashleigh Petts, S. Veeramoothoo, Massimo Verzella",10.1109/TPC.2024.3418168,https://doi.org/10.1109/TPC.2024.3418168,IEEE Transactions on Professional Communication,0,2024
Semantic Interoperability of Electronic Health Records: Systematic Review of Alternative Approaches for Enhancing Patient Information Availability,"Sari Palojoki, L. Lehtonen, Riikka Vuokko",10.2196/53535,https://doi.org/10.2196/53535,JMIR Medical Informatics,13,2024
How Shall We All Live Together?: Meta‐Analytical Review of the Mutual Intercultural Relations in Plural Societies Project,"J. Berry, Zarina Lepshokova, D. Grigoryev",10.1111/APPS.12332,https://doi.org/10.1111/APPS.12332,Applied Psychology,82,2021
Representing interlingual meaning in lexical databases,"Fausto Giunchiglia, Gábor Bella, N. C. Nair, Yang Chi, Hao Xu",10.1007/s10462-023-10427-1,https://doi.org/10.1007/s10462-023-10427-1,Artificial Intelligence Review,10,2023
Model-based approaches for interoperability of next generation enterprise information systems: state of the art and future challenges,"G. Zacharewicz, S. Diallo, Y. Ducq, C. Agostinho, R. Jardim-Gonçalves, Hassan Bazoun, Zhongjie Wang, G. Doumeingts",10.1007/s10257-016-0317-8,https://doi.org/10.1007/s10257-016-0317-8,Information Systems and E-Business Management,62,2016
(Re) Framing Multilingual Technical Communication with Indigenous Language Interpreters and Translators,Laura Gonzales,10.1080/10572252.2021.1906453,https://doi.org/10.1080/10572252.2021.1906453,Technical Communication Quarterly,13,2021
Going cross-lingual: A guide to multilingual text analysis,"Hauke Licht, Fabienne Lind",10.5117/ccr2023.2.3.lich,https://doi.org/10.5117/ccr2023.2.3.lich,Computational Communication Research,6,2023
A survey of methods to ease the development of highly multilingual text mining applications,Ralf Steinberger,10.1007/s10579-011-9165-9,https://doi.org/10.1007/s10579-011-9165-9,Language Resources and Evaluation,56,2011
A Systematic Review on the Data Interoperability of Application Layer Protocols in Industrial IoT,"Anam Amjad, F. Azam, Muhammad Waseem Anwar, W. H. Butt",10.1109/ACCESS.2021.3094763,https://doi.org/10.1109/ACCESS.2021.3094763,IEEE Access,28,2021
Semiotics-based manufacturing systems integration in the advent of a single electronic market,"R. Jardim-Gonçalves, A. Grilo, T. Hassan, A. Steiger-Garção",10.1080/0951192X.2010.490274,https://doi.org/10.1080/0951192X.2010.490274,International journal of computer integrated manufacturing (Print),3,2010
Interoperability of eGovernment for Building Intergovernmental Integration in the European Union,J. Ignacio Criado,10.1177/0894439310392189,https://doi.org/10.1177/0894439310392189,-,15,2012
"The need for addressing multilingualism, ambiguity and interoperability for visual resources management across metadata platforms","Denise Russo, Abebe Rorissa",10.5210/fm.v26i1.10378,https://doi.org/10.5210/fm.v26i1.10378,First Monday,1,2020
"Multi-Language Software Development: Issues, Challenges, and Solutions","Haoran Yang, Yu Nong, Shaowei Wang, Haipeng Cai",10.1109/TSE.2024.3358258,https://doi.org/10.1109/TSE.2024.3358258,IEEE Transactions on Software Engineering,5,2024
Interoperability for Industrial Cyber-Physical Systems: An Approach for Legacy Systems,"Omid Givehchi, Klaus Landsdorf, P. Simoens, A. Colombo",10.1109/TII.2017.2740434,https://doi.org/10.1109/TII.2017.2740434,IEEE Transactions on Industrial Informatics,144,2017
"Exploring Socio-Technical Features of Green Interior Design of Residential Buildings: Indicators, Interdependence and Embeddedness","Y. Ning, Yadi Li, Shuangshuang Yang, C. Ju",10.3390/SU9010033,https://doi.org/10.3390/SU9010033,-,13,2016
"Data interoperability assessment, case of messaging‐based data exchanges","Jannik Laval, N. Amokrane, B. Niang, Mustapha Derras, N. Moalla",10.1002/smr.2538,https://doi.org/10.1002/smr.2538,J. Softw. Evol. Process.,1,2023
"Multi-lingual and multi-cultural information literacy: perspectives, models and good practice","Shohana Nowrin, L. Robinson, D. Bawden",10.1108/GKMC-05-2018-0050,https://doi.org/10.1108/GKMC-05-2018-0050,Global Knowledge Memory and Communication,11,2019
A critical review of multiculturalism and interculturalism as integration frameworks: The case of Canada,"S. Safdar, S. Chahar Mahali, C. Scott",10.1016/j.ijintrel.2023.101756,https://doi.org/10.1016/j.ijintrel.2023.101756,International Journal of Intercultural Relations,10,2023
Dual and multilanguage systems,I. Kecskés,10.1080/14790710903288313,https://doi.org/10.1080/14790710903288313,-,49,2010
Developing a multilevel framework for AI integration in technical and engineering higher education: insights from bibliometric analysis and ethnographic research,"Behzad Abbasnejad, Sahar Soltani, Foad Taghizadeh, Ali Zare",10.1108/itse-12-2024-0314,https://doi.org/10.1108/itse-12-2024-0314,Interactive Technology and Smart Education,0,2025
Data Integration and Interoperability: Towards a Model-Driven and Pattern-Oriented Approach,"R. Petrasch, Richard R. Petrasch",10.3390/modelling3010008,https://doi.org/10.3390/modelling3010008,Modelling,16,2022
Survey of Interoperability Challenges in the Internet of Vehicles,"Paul Agbaje, A. Anjum, Arkajyoti Mitra, Emmanuel Oseghale, Gedare Bloom, Habeeb Olufowobi",10.1109/TITS.2022.3194413,https://doi.org/10.1109/TITS.2022.3194413,IEEE transactions on intelligent transportation systems (Print),53,2022
Multiliteracies and multilingualism in adult migrants: A systematic review,"Javier Ávila-López, F. D. Rubio-Alcalá",10.3828/ejlp.2023.10,https://doi.org/10.3828/ejlp.2023.10,European Journal of Language Policy,2,2023
Mixed Methods Research in Language Testing and Assessment,"E. Jang, Maryam Wagner, Gina Park",10.1017/S0267190514000063,https://doi.org/10.1017/S0267190514000063,Annual Review of Applied Linguistics,38,2014
Translation as a test of language vitality,Arturo Tosi,10.1111/IJAL.12016,https://doi.org/10.1111/IJAL.12016,-,7,2013
From many one: Novel approaches to translation quality in a social network era,Miguel A. Jiménez-Crespo,10.52034/lanstts.v10i.281,https://doi.org/10.52034/lanstts.v10i.281,Linguistica Anverpiensia New Series ? Themes in Translation Studies,32,2021
Bringing language education policy and multilingual assessment closer,D. Gorter,10.1080/09500782.2016.1261895,https://doi.org/10.1080/09500782.2016.1261895,-,4,2017
Software integration model: An assessment tool for global software development vendors,"Muhammad Ilyas, S. Khan, Habib Ullah Khan, Nasir Rashid",10.1002/smr.2540,https://doi.org/10.1002/smr.2540,J. Softw. Evol. Process.,12,2023
"Managing linguistic obstacles in multidisciplinary, multinational, and multilingual research projects","Alison Specht, S. Stall, Jeaneth Machicao, Thibault Catry, Marc Chaumont, Romain David, R. Devillers, Rorie Edmunds, Robin Jarry, Laurence Mabile, Nobuko Miyairi, Margaret O'Brien, P. Corrêa, Solange Santos, Gérard Subsol, Lesley Wyborn",10.1371/journal.pone.0311967,https://doi.org/10.1371/journal.pone.0311967,PLoS ONE,1,2024
"Integrating technical and business aspects in Software as a Service: Systematic literature review, trends, and research directions","Andrei Time, Diego A. de J. Pacheco, S. Ionescu",10.1177/02666669241287499,https://doi.org/10.1177/02666669241287499,Information Development,0,2024
Design and Evaluate the Efficiency of Ethiopic Local Integrating System in Open-Source Database,"W. M. Tessema, Nadire Cavus",10.1109/ACCESS.2022.3218418,https://doi.org/10.1109/ACCESS.2022.3218418,IEEE Access,3,2022
Computer technologies to integrate medical treatments to manage multimorbidity,"D. Riaño, W. Ortega",10.1016/j.jbi.2017.09.009,https://doi.org/10.1016/j.jbi.2017.09.009,Journal of Biomedical Informatics,30,2017
"The advantages of an Ontology-Based Data Management approach: openness, interoperability and data quality","C. Daraio, M. Lenzerini, C. Leporelli, Paolo Naggar, A. Bonaccorsi, A. Bartolucci",10.1007/s11192-016-1913-6,https://doi.org/10.1007/s11192-016-1913-6,Scientometrics,77,2016
"Information systems for enterprise integration, interoperability and networking: theory and applications","H. Panetto, J. Cecil",10.1080/17517575.2012.684802,https://doi.org/10.1080/17517575.2012.684802,Enterprise Information Systems,130,2013
The Challenges of Semantic Interoperability in the Era of eScience on the Web,"Maria Luiza Machado Campos, L. M. Campos, N. Barbosa",10.5771/0943-7444-2020-8-680,https://doi.org/10.5771/0943-7444-2020-8-680,Knowledge organization,1,2020
A Survey of Interoperability Challenges and Solutions for Dealing With Them in IoT Environment,"S. Albouq, A. A. Sen, Nabil Almashf, Mohammad Yamin, Abdullah Alshanqiti, N. Bahbouh",10.1109/ACCESS.2022.3162219,https://doi.org/10.1109/ACCESS.2022.3162219,IEEE Access,46,2022
Science Arts & Métiers (SAM),-,-,-,-,9,2019
Integrating multilingualism into the early foreign language classroom: Empirical and teaching perspectives,"H. Hopp, Jenny Jakisch, Sarah Sturm, C. Becker, Dieter Thoma",10.1080/19313152.2019.1669519,https://doi.org/10.1080/19313152.2019.1669519,International Multilingual Research Journal,20,2019
Towards a cross-domain interoperable framework for natural hazards and disaster risk reduction information,"R. Tomas, M. Harrison, J. Barredo, Florian Thomas, Miguel Llorente Isidro, Manuela Pfeiffer, O. Čerba",10.1007/s11069-015-1786-7,https://doi.org/10.1007/s11069-015-1786-7,Natural Hazards,13,2015
Assessing Systems Integration: A Conceptual Framework and a Method,"A. Vernay, F. Boons",10.1002/SRES.2221,https://doi.org/10.1002/SRES.2221,-,11,2015
Bienvenidos a la conversación: Examinations of translanguaging across science and engineering education research,"Greses Pérez, María González‐Howard, Enrique Suárez",10.1002/tea.22010,https://doi.org/10.1002/tea.22010,Journal of Research in Science Teaching,2,2024
Empirical Validation of Software Integration Practices in Global Software Development,"Muhammad Ilyas, S. Khan, Nasir Rashid",10.1007/s42979-020-00175-2,https://doi.org/10.1007/s42979-020-00175-2,SN Computer Science,10,2020
A Survey of Recent Trends in Testing Concurrent Software Systems,"F. A. Bianchi, Alessandro Margara, M. Pezzè",10.1109/TSE.2017.2707089,https://doi.org/10.1109/TSE.2017.2707089,IEEE Transactions on Software Engineering,48,2018
Definition and design: aligning language interventions in education,A. Weideman,10.5842/56-0-782,https://doi.org/10.5842/56-0-782,Stellenbosch Papers in Linguistics Plus,6,2019
THE DYLAN Project: “Language Dynamics and Management of Diversity”,"Anne-Claude Berthoud, F. Grin, Georges Lüdi",10.1515/eujal-2015-0009,https://doi.org/10.1515/eujal-2015-0009,-,10,2015
EVALUATING THE IMPACT OF INTEGRATION PROCESSES ON THE ETHNOPOLITICAL COMPETITION OF LANGUAGES IN THE BALTIC REGION,"A. Neverov, Anton Yu. Markelov, A. Airapetian",10.5922/2079-8555-2021-3-4,https://doi.org/10.5922/2079-8555-2021-3-4,Baltic Region,0,2021
IATE 2,"Paula Zorrilla-Agut, T. Fontenelle",10.1075/term.00034.zor,https://doi.org/10.1075/term.00034.zor,-,5,2019
Global Interoperability for Language Resources: Introduction to the Special Section,"Nancy Ide, A. Fang, J. Webster",10.1007/s10579-012-9184-1,https://doi.org/10.1007/s10579-012-9184-1,Language Resources and Evaluation,0,2012
Editorial,"D. Avison, G. Fitzgerald, P. Powell",10.1111/j.1365-2575.2011.00372.x,https://doi.org/10.1111/j.1365-2575.2011.00372.x,Information Systems Journal,0,2011
TOWARD INTEGRATION IN THE CONTEXT OF HEALTH TECHNOLOGY ASSESSMENT: THE NEED FOR EVALUATIVE FRAMEWORKS,"G. J. van der Wilt, A. Gerhardus, W. Oortwijn",10.1017/S0266462317004354,https://doi.org/10.1017/S0266462317004354,International Journal of Technology Assessment in Health Care,2,2017
Integration in CLIL: a proposal to inform research and successful pedagogy,Ana Llinares,10.1080/07908318.2014.1000925,https://doi.org/10.1080/07908318.2014.1000925,-,100,2015
Global Interoperability for Language Resources: Introduction to the Special Section,"Nancy Ide, A. Fang, Jonathan Webster",10.1007/s10579-012-9184-1,https://doi.org/10.1007/s10579-012-9184-1,Language Resources and Evaluation,0,2012
The Current State of Component Content Management: An Integrative Literature Review,"R. Andersen, T. Batova",10.1109/TPC.2016.2516619,https://doi.org/10.1109/TPC.2016.2516619,IEEE Transactions on Professional Communication,34,2015
Holistic Human-Serving Digitization of Health Care Needs Integrated Automated System-Level Assessment Tools,"Cindy Welzel, Fabienne Cotte, M. Wekenborg, B. Vasey, P. McCulloch, S. Gilbert",10.2196/50158,https://doi.org/10.2196/50158,Journal of Medical Internet Research,13,2023
Algorithms and tools for data-driven omics integration to achieve multilayer biological insights: a narrative review,"A. Morabito, Giulia De Simone, R. Pastorelli, L. Brunelli, Manuela Ferrario",10.1186/s12967-025-06446-x,https://doi.org/10.1186/s12967-025-06446-x,Journal of Translational Medicine,3,2025
Intercultural Competence in Technical Communication: A Working Definition and Review of Assessment Methods,Han Yu,10.1080/10572252.2012.643443,https://doi.org/10.1080/10572252.2012.643443,-,49,2012
The Translational Work of Interoperability: Digital Health and Data Enabling Integrated Care Special Interest Group Workshop,"Carolyn Steele Gray, Leo Lewis, Nick Zonneveld, Ingo Meyer, Vanessa Wright, Jordi Piera Jiménez",10.5334/ijic.icic23710,https://doi.org/10.5334/ijic.icic23710,International Journal of Integrated Care,0,2023
